엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,수입,청주,품목,시기:2024년;국가:일본
일본,국가,시장규모,알코올 음료,품목,시기:2023년;시장규모:146조원
일본,국가,시장규모,사과주 페리 및 쌀 와인,품목,시기:2023년;시장규모:29.9조원
일본,국가,수입,HS CODE 2206.00,품목,시기:2023년;수입액:1060억엔
일본,국가,수입,HS CODE 2206.00,품목,시기:2023년;수입액:455억엔,대상:한국
일본,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,시기:2024년 6월;점유율:42.2%
일본,국가,시장점유율,드럭스토어,유통채널,시기:2024년 6월;점유율:16.3%
일본,국가,시장점유율,온라인,유통채널,시기:2024년 6월;점유율:4.5%
일본,국가,시장점유율,전문점,유통채널,시기:2024년 6월;점유율:3.5%
미츠코시백화점,기업,생산,청주,품목,시기:2023;매출액:5조650억 원
다이마루백화점,기업,생산,청주,품목,시기:2023;매출액:3조7390억 원
아마존 일본,기업,생산,청주,품목,시기:2023;매출액:1194억 원
라쿠텐,기업,생산,청주,품목,시기:2023;매출액:19282억 엔
야마야,기업,생산,청주,품목,시기:2024;매출액:1279억 원
시나노야,기업,생산,청주,품목,시기:2024;매장수:18개
이온리커,기업,생산,청주,품목,시기:2024;매장수:76개
마미마트,기업,생산,청주,품목,시기:2024;매장수:76개
일본,국가,생산,청주,품목,시기:2024;시장규모:약 146조 원
일본,국가,수입,HS CODE 2206.00,품목,시기:2023;수입액:1060억 엔
일본,국가,수입,HS CODE 2206.00,품목,시기:2023;수입액:455억 엔;대상:한국
일본,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,시기:2024년 6월;점유율:42.2%
일본,국가,시장점유율,드럭스토어,유통채널,시기:2024년 6월;점유율:16.3%
일본,국가,시장점유율,온라인,유통채널,시기:2024년 6월;점유율:4.5%
일본,국가,시장점유율,전문점,유통채널,시기:2024년 6월;점유율:3.5%
미츠코시백화점,기업,생산,청주,품목,시기:2023;매출액:5조650억 원
다이마루백화점,기업,생산,청주,품목,시기:2023;매출액:3조7390억 원
아마존 일본,기업,생산,청주,품목,시기:2023;매출액:1194억 원
라쿠텐,기업,생산,청주,품목,시기:2023;매출액:19282억 엔
야마야,기업,생산,청주,품목,시기:2024;매출액:1279억 원
시나노야,기업,생산,청주,품목,시기:2024;매장수:18개
이온리커,기업,생산,청주,품목,시기:2024;매장수:76개
마미마트,기업,생산,청주,품목,시기:2024;매장수:76개
