엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,수입,전복죽,품목,가격:4.27달러;중량:320g;원산지:한국;포장:플라스틱파우치;인증:HACCP;조리방법:열처리
경쟁제품 1,품목,수입,전복죽,품목,가격:약 1.33달러/100g;중량:약 310g;원산지:한국;포장:플라스틱파우치 또는 플라스틱용기;인증:HACCP
경쟁제품 2,품목,수입,전복죽,품목,가격:약 1.57달러/100g;중량:약 300g;원산지:한국;포장:플라스틱파우치 또는 플라스틱용기;인증:HACCP
경쟁제품 3,품목,수입,게살죽,품목,가격:약 1.40달러/100g;중량:285g;원산지:한국;포장:플라스틱용기;인증:HACCP
경쟁제품 4,품목,수입,버섯야채죽,품목,가격:약 1.43달러/100g;중량:280g;원산지:한국;포장:종이커버/플라스틱용기;인증:없음
경쟁제품 5,품목,수입,전복버섯죽,품목,가격:약 1.66달러/100g;중량:300g;원산지:한국;포장:플라스틱파우치;인증:HACCP
경쟁제품 6,품목,수입,완도전복죽,품목,가격:약 3.16달러/100g;중량:253g;원산지:한국;포장:종이상자/파우치;인증없음
경쟁제품 7,품목,수입,전복죽,품목,가격:약 1.66달러/100g;중량:420g;원산지:한국;포장:플라스틱파우치;인증:HACCP
경쟁제품 8,품목,수입,전복죽,품목,가격:약 1.19달러/100g;중량:420g;원산지:한국;포장:플라스틱파우치;인증:HACCP
경쟁제품 9,품목,수입,전복죽,품목,가격:약 1.19달러/100g;중량:420g;원산지:한국;포장:플라스틱파우치;인증:HACCP
경쟁제품 10,품목,수입,전복죽,품목,가격:약 1.66달러/100g;중량:300g;원산지:한국;포장:플라스틱파우치;인증:HACCP
