엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
홍콩,국가,시장규모,수산가공식품,품목,시기:2023년;시장규모:1.34조원
홍콩,국가,시장성장률,수산가공식품,품목,시기:2024-2028;연평균성장률:4.0%
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;수입액:348억 원
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2019-2023;연평균성장률:4.1%
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;대한국수입액:20억 원
HS CODE 1605.10,품목,수입단가,홍콩,국가,시기:2023;단가:1,994만 원/톤
HS CODE 1605.10,품목,수입량,홍콩,국가,시기:2023;수입량:101톤
홍콩,국가,수출규모,한국,국가,시기:2023;수출규모:3150톤;금액:606억 원
홍콩,국가,수입단가,한국,국가,시기:2023;단가:1,994만 원/톤
홍콩,국가,수입단가,HS CODE 1605.10,품목,시기:2019-2023;연평균증가율:5.5%
홍콩,국가,수입단가,한국,국가,시기:2023;단가:1,994만 원/톤
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;수입액:20억 원
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2019-2023;연평균감소율:-2.2%
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;대만,수입액:63억 원
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;인도,수입액:56억 원
홍콩,국가,수입액,HS CODE 1605.10,품목,시기:2023;일본,수입액:45억 원
한국,국가,수출,붉은 대게살,품목,시기:2023;중량:3150톤;금액:606억 원
한국,국가,수출증가,붉은 대게살,품목,시기:2019-2023;증가율:12%
홍콩,국가,수입허가,붉은 대게살,품목,필수사항:생산·가공시설 등록,수입업체 등록
홍콩,국가,검역,붉은 대게살,품목,시기:수입 전;검역대상:수산물,갑각류,전복,굴
홍콩,국가,HS CODE,붉은 대게살,품목,코드:1605.10-00
홍콩,국가,관세율,붉은 대게살,품목,세율:0%
홍콩,국가,수입검사,붉은 대게살,품목,시기:수입 시;검사비율:낮음
홍콩,국가,수입검역,붉은 대게살,품목,시기:수입 시;검사기간:2-3일
홍콩,국가,수입신고,붉은 대게살,품목,시기:수입 전;서류:상업송장,포장명세서,선하증권
홍콩,국가,수출검역,붉은 대게살,품목,시기:수출 전;검역대상:수산물,갑각류
홍콩,국가,수출신고,붉은 대게살,품목,시기:수출 전;서류:수출신고서,계약서
홍콩,국가,수출검사,붉은 대게살,품목,시기:수출 전;검사:서류,임상,정밀
홍콩,국가,수출통관,붉은 대게살,품목,시기:수출 후;절차:신고,검사,적재
홍콩,국가,수입검역,붉은 대게살,품목,시기:수입 시;검사:임의추출,현장검사
홍콩,국가,중금속기준,붉은 대게살,품목,최대허용기준:Pb 6ppm, Hg 0.5ppm, As 1.4ppm
홍콩,국가,라벨링,붉은 대게살,품목,시기:포장 전면;언어:중국어,영어;내용:성분,원산지,유통기한
홍콩,국가,인증,붉은 대게살,품목,성격:HACCP, FSSC 22000, ISO 22000, 할랄, MSC, ASC
홍콩,국가,수입제한,일본,품목,시기:2023.8;내용:후쿠시마 오염수 방류로 인한 수입금지
홍콩,국가,수입신고,붉은 대게살,품목,시기:수입 전;서류:수입신고서,증명서
홍콩,국가,검역,붉은 대게살,품목,시기:수입 시;검사:임의추출,현장검사
홍콩,국가,수입검사,붉은 대게살,품목,시기:수입 시;검사기간:2-3일
홍콩,국가,수입검역,붉은 대게살,품목,시기:수입 시;검사:임의추출,현장검사
홍콩,국가,수입신고,붉은 대게살,품목,시기:수입 전;서류:수입신고서,계약서
홍콩,국가,수입검사,붉은 대게살,품목,시기:수입 시;검사:임의추출,현장검사
홍콩,국가,수입검역,붉은 대게살,품목,시기:수입 시;검사:임의추출,현장검사
