엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024 UAE 비건 단백질 파우더 (경쟁력분석형)","연도","","","","시기:2024년 9월"
"아마존","온라인쇼핑몰","판매","비건 단백질 파우더","품목","리뷰수:3163"
"Orgain","기업","제조","유기농 프로틴 파우더","품목","원산지:미국;가격:150.98디르함;중량:920g"
"오르게인","기업","제조","오가닉 프로틴 파우더","품목","원산지:미국;가격:150.98디르함;중량:920g"
"가든 오브 라이프","기업","제조","오가닉 프로틴 파우더","품목","원산지:미국;가격:167.30디르함;중량:265g"
"선워리어","기업","제조","프로틴 워리어 블렌드 - 초콜릿","품목","원산지:미국;가격:134.00디르함;중량:375g"
"선워리어","기업","제조","프로틴 워리어 블렌드 - 바닐라","품목","원산지:미국;가격:226.75디르함;중량:750g"
"네이처레이드","기업","제조","네이처레이드 플랜트 베이스드 프로틴","품목","원산지:미국;가격:214.99디르함;중량:540g"
"가든 오브 라이프","기업","제조","로우 오가닉 프로틴 - 초콜릿","품목","원산지:미국;가격:283.48디르함;중량:700g"
"가든 오브 라이프","기업","제조","오가닉 크리미 프로틴 - 오트밀크 파우더","품목","원산지:미국;가격:288.73디르함;중량:700g"
"네이처레이드","기업","제조","플랜트 베이스드 프로틴","품목","원산지:미국;가격:214.99디르함;중량:540g"
"비건 스마트","기업","제조","프로틴 앤 그린스 올인원 파우더","품목","원산지:미국;가격:214.99디르함;중량:540g"
"플랜트퓨전","기업","제조","프로틴 앤 그린스 올인원 파우더","품목","원산지:미국;가격:16.75디르함;중량:360g"
"아스터","기업","제조","피 프로틴 비건 쉐이크","품목","원산지:미국;가격:214.99디르함;중량:540g"
"아스터","기업","제조","컴플리트 프로틴","품목","원산지:미국;가격:16.75디르함;중량:360g"
"가든 오브 라이프","기업","제조","유기농 프로틴 파우더","품목","원산지:미국;가격:167.30디르함;중량:265g"
"선워리어","기업","제조","프로틴 워리어 블렌드 - 초콜릿","품목","원산지:미국;가격:134.00디르함;중량:375g"
"네이처레이드","기업","제조","네이처레이드 플랜트 베이스드 프로틴","품목","원산지:미국;가격:214.99디르함;중량:540g"
"가든 오브 라이프","기업","제조","로우 오가닉 프로틴 - 초콜릿","품목","원산지:미국;가격:283.48디르함;중량:700g"
"가든 오브 라이프","기업","제조","오가닉 크리미 프로틴 - 오트밀크 파우더","품목","원산지:미국;가격:288.73디르함;중량:700g"
"네이처레이드","기업","제조","플랜트 베이스드 프로틴","품목","원산지:미국;가격:214.99디르함;중량:540g"
"비건 스마트","기업","제조","프로틴 앤 그린스 올인원 파우더","품목","원산지:미국;가격:214.99디르함;중량:540g"
"플랜트퓨전","기업","제조","프로틴 앤 그린스 올인원 파우더","품목","원산지:미국;가격:16.75디르함;중량:360g"
"아스터","기업","제조","피 프로틴 비건 쉐이크","품목","원산지:미국;가격:214.99디르함;중량:540g"
"아스터","기업","제조","컴플리트 프로틴","품목","원산지:미국;가격:16.75디르함;중량:360g"
