엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,수입,매실가공품,품목,시기:2024년;시장규모:2.4조원
일본,국가,수입,HS CODE 2008.99,품목,시기:2023년;수입액:4703억 원
일본,국가,수입,한국,국가,시기:2023년;수입액:656억 원
일본,국가,수입,중국,국가,시기:2023년;수입액:2137억 원
일본,국가,수입,태국,국가,시기:2023년;수입액:454억 원
일본,국가,수입,베트남,국가,시기:2023년;수입액:271억 원
일본,국가,수입,미국,국가,시기:2023년;수입액:4134억 원
일본,국가,수입,일본,국가,시기:2023년;수입액:무시
일본,국가,수입,한국,국가,시기:2023년;수입액:656억 원
일본,국가,수입,중국,국가,시기:2023년;수입액:2137억 원
일본,국가,수입,태국,국가,시기:2023년;수입액:454억 원
일본,국가,수입,베트남,국가,시기:2023년;수입액:271억 원
일본,국가,수입,미국,국가,시기:2023년;수입액:4134억 원
일본,국가,수입,일본,국가,시기:2023년;수입액:무시
일본,국가,수입,한국,국가,시기:2023년;수입액:656억 원
일본,국가,수입,중국,국가,시기:2023년;수입액:2137억 원
일본,국가,수입,태국,국가,시기:2023년;수입액:454억 원
일본,국가,수입,베트남,국가,시기:2023년;수입액:271억 원
일본,국가,수입,미국,국가,시기:2023년;수입액:4134억 원
일본,국가,수입,일본,국가,시기:2023년;수입액:무시
일본,국가,수입,한국,국가,시기:2023년;수입액:656억 원
일본,국가,수입,중국,국가,시기:2023년;수입액:2137억 원
일본,국가,수입,태국,국가,시기:2023년;수입액:454억 원
일본,국가,수입,베트남,국가,시기:2023년;수입액:271억 원
