```csv
엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024년 식품산업 원료소비 실태조사_2. 통계편",문서제목,시기,2024년,시기,2024년
"전 체",통계집단,생산,농축수산물,원료,추정사례수:18553726;조사사례수:6003
"육류 가공 및 저장 처리업",업종,생산,육류,원료,추정사례수:945;조사사례수:669
"수산동물 가공 및 저장 처리업",업종,생산,수산동물,원료,추정사례수:901;조사사례수:567
"수산식물 가공 및 저장 처리업",업종,생산,수산식물,원료,추정사례수:480;조사사례수:285
"과실 채소 가공 및 저장 처리업",업종,생산,과실채소,원료,추정사례수:1098;조사사례수:714
"동물성 및 식물성 유지 제조업",업종,생산,유지류,원료,추정사례수:112;조사사례수:89
"낙농제품 및 식용 빙과류 제조업",업종,생산,낙농제품,원료,추정사례수:145;조사사례수:112
"곡물 가공품 제조업",업종,생산,곡물가공품,원료,추정사례수:395;조사사례수:289
"전분제품 및 당류 제조업",업종,생산,전분제품,원료,추정사례수:57;조사사례수:41
"떡 빵 및 과자류 제조업",업종,생산,떡빵과자류,원료,추정사례수:1315;조사사례수:810
"설탕 제조업",업종,생산,설탕,원료,추정사례수:5;조사사례수:5
"면류 마카로니 및 유사 식품 제조업",업종,생산,면류,원료,추정사례수:165;조사사례수:131
"조미료 및 식품 첨가물 제조업",업종,생산,조미료,원료,추정사례수:812;조사사례수:517
"도시락 및 식사용 조리식품 제조업",업종,생산,조리식품,원료,추정사례수:786;조사사례수:492
"기타 식료품 제조업",업종,생산,기타식품,원료,추정사례수:1054;조사사례수:718
"동물용 사료 및 조제식품 제조업",업종,생산,사료,원료,추정사례수:397;조사사례수:294
"발효주 제조업",업종,생산,발효주,원료,추정사례수:208;조사사례수:131
"증류주 및 합성주 제조업",업종,생산,증류주,원료,추정사례수:46;조사사례수:39
"비알코올 음료 및 얼음 제조업",업종,생산,음료,원료,추정사례수:127;조사사례수:100
"억 미만",규모,생산,농축수산물,원료,추정사례수:3258;조사사례수:1839
"억 억 미만 10 -100",규모,생산,농축수산물,원료,추정사례수:4543;조사사례수:3111
"억 억 100 -400",규모,생산,농축수산물,원료,추정사례수:850;조사사례수:697
"억 이상 400",규모,생산,농축수산물,원료,추정사례수:398;조사사례수:356
"5-9인",규모,생산,생산자수,인원,추정사례수:4013;조사사례수:2038
"10-29인",규모,생산,생산자수,인원,추정사례수:2391;조사사례수:1774
"30-49인",규모,생산,생산자수,인원,추정사례수:1745;조사사례수:1386
"50-99인",규모,생산,생산자수,인원,추정사례수:548;조사사례수:491
"100-299인",규모,생산,생산자수,인원,추정사례수:297;조사사례수:263
"인 이상",규모,생산,생산자수,인원,추정사례수:300;조사사례수:54
"지역",지역,분포,서울,지역,추정사례수:298;조사사례수:181
"지역",지역,분포,부산,지역,추정사례수:513;조사사례수:345
"지역",지역,분포,대구,지역,추정사례수:264;조사사례수:175
"지역",지역,분포,인천,지역,추정사례수:334;조사사례수:227
"지역",지역,분포,광주,지역,추정사례수:148;조사사례수:94
"지역",지역,분포,대전,지역,추정사례수:111;조사사례수:74
"지역",지역,분포,울산,지역,추정사례수:99;조사사례수:62
"지역",지역,분포,경기,지역,추정사례수:2513;조사사례수:1709
"지역",지역,분포,강원,지역,추정사례수:560;조사사례수:359
"지역",지역,분포,충북,지역,추정사례수:669;조사사례수:475
"지역",지역,분포,충남,지역,추정사례수:745;조사사례수:506
"지역",지역,분포,전북,지역,추정사례수:520;조사사례수:351
"지역",지역,분포,전남,지역,추정사례수:748;조사사례수:444
"지역",지역,분포,경북,지역,추정사례수:717;조사사례수:456
"지역",지역,분포,경남,지역,추정사례수:634;조사사례수:434
"지역",지역,분포,제주,지역,추정사례수:112;조사사례수:71
"지역",지역,분포,세종,지역,추정사례수:61;조사사례수:40
"품목",품목,생산,쌀,품목,추정사례수:666404;조사사례수:53
"품목",품목,생산,보리,품목,추정사례수:171596;조사사례수:228.5
