엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
아마존,온라인쇼핑몰,수입,7가지 모듬해초 J사,품목,원산지:한국;시기:2024년
월마트,온라인쇼핑몰,수입,오가닉 퍼시픽 와카메 오션스 할로,품목,원산지:한국;시기:2024년
크로거,온라인쇼핑몰,수입,건조 해초 샐러드 웰팩,품목,원산지:한국;시기:2024년
아틀란틱 씨 팜,기업,생산,발효 해초 샐러드,품목,원산지:미국;시기:2024년
제이원,기업,생산,완도산 미역줄기,품목,원산지:한국;시기:2024년
해태 USA,기업,생산,청정해역 줄기미역,품목,원산지:한국;시기:2024년
그랜드 BK,기업,생산,양념 해초 샐러드,품목,원산지:중국;시기:2024년
A사,기업,생산,미역줄기,품목,원산지:한국;시기:2024년
해오름,기업,생산,미역줄기,품목,원산지:한국;시기:2024년
초립동이,기업,생산,염장 미역줄기,품목,원산지:한국;시기:2024년
Ocean Approved Inc,기업,생산,발효 해초 샐러드,품목,원산지:미국;시기:2024년
아틀란틱 씨 팜,기업,생산,매콤 고추장 해초 샐러드,품목,원산지:한국;시기:2024년
아리랑 슈퍼마켓,유통업체,판매,삼색해초,품목,원산지:한국;시기:2024년
에이치 마트,유통업체,판매,양념 해초 샐러드,품목,원산지:중국;시기:2024년
시온 마켓,유통업체,판매,삼색해초,품목,원산지:한국;시기:2024년
