엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,시장규모,활어시장,시장,시기:2023년;시장규모:7.5조원
태국,국가,시장성장률,활어시장,시장,시기:2019-2023;연평균성장률:2.6%
태국,국가,시장성장률,활어시장,시장,시기:2024-2028;연평균성장률:2.8%
태국,국가,수산물수요,수산물시장,시장,시기:2023;수요:높음
태국,국가,수입액,HS CODE 0301.99,수입,시기:2019-2023;수입액:24억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2023;수입액:24억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2019;수입액:67억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2020;수입액:57억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2021;수입액:49억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2022;수입액:39억 원
태국,국가,수입액,HS CODE 0301.99,수입,시기:2023;수입액:24억 원
태국,국가,수입량,HS CODE 0301.99,수입량,시기:2023;수입량:1057톤
태국,국가,수입단가,HS CODE 0301.99,수입단가,시기:2019;단가:1228만 원
태국,국가,수입단가,HS CODE 0301.99,수입단가,시기:2020;단가:1148만 원
태국,국가,수입단가,HS CODE 0301.99,수입단가,시기:2021;단가:1140만 원
태국,국가,수입단가,HS CODE 0301.99,수입단가,시기:2022;단가:1252만 원
태국,국가,수입단가,HS CODE 0301.99,수입단가,시기:2023;단가:1617만 원
태국,국가,한국수입액,HS CODE 0301.99,수입,시기:2019;수입액:415만 원
태국,국가,한국수입액,HS CODE 0301.99,수입,시기:2020;수입액:1106만 원
태국,국가,한국수입액,HS CODE 0301.99,수입,시기:2021;수입액:5668만 원
태국,국가,한국수입액,HS CODE 0301.99,수입,시기:2022;수입액:1797만 원
태국,국가,한국수입액,HS CODE 0301.99,수입,시기:2023;수입액:691만 원
한국,국가,수출규모,한국,수출,시기:2022;수출규모:1.2억 원
한국,국가,수출규모,한국,수출,시기:2023;수출규모:1.6억 원
한국,국가,수출량,한국,수출,시기:2022;수출량:5톤
한국,국가,수출량,한국,수출,시기:2023;수출량:7톤
한국,국가,생산규모,한국,생산,시기:2022;생산규모:49192톤
한국,국가,생산규모,한국,생산,시기:2018;생산규모:42012톤
한국,국가,생산규모,한국,생산,시기:2019;생산규모:47427톤
한국,국가,생산규모,한국,생산,시기:2020;생산규모:46995톤
한국,국가,생산규모,한국,생산,시기:2021;생산규모:44700톤
한국,국가,생산규모,한국,생산,시기:2018;생산규모:42012톤
한국,국가,생산규모,한국,생산,시기:2019;생산규모:47427톤
한국,국가,생산규모,한국,생산,시기:2020;생산규모:46995톤
한국,국가,생산규모,한국,생산,시기:2021;생산규모:44700톤
한국,국가,생산규모,한국,생산,시기:2022;생산규모:49092톤
한국,국가,생산규모,한국,생산,시기:2018;생산규모:42012톤
한국,국가,생산규모,한국,생산,시기:2019;생산규모:47427톤
한국,국가,생산규모,한국,생산,시기:2020;생산규모:46995톤
한국,국가,생산규모,한국,생산,시기:2021;생산규모:44700톤
한국,국가,생산규모,한국,생산,시기:2022;생산규모:49092톤
한국,국가,생산규모,한국,생산,시기:2018;생산규모:42012톤
한국,국가,생산규모,한국,생산,시기:2019;생산규모:47427톤
한국,국가,생산규모,한국,생산,시기:2020;생산규모:46995톤
한국,국가,생산규모,한국,생산,시기:2021;생산규모:44700톤
한국,국가,생산규모,한국,생산,시기:2022;생산규모:49092톤
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99-8000
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
태국,국가,HS CODE,HS CODE,코드,품명:활어;코드:0301.99
