엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
로데월푸드,기업,생산,무설탕 디저트 브랜드 마일드 소홀핏,품목,시기:2023년 10월,무설탕,브랜드명:마일드 소홀핏
이마트,기업,생산,무설탕 소홀렉,품목,시기:2022년 9월 7일~75일,무설탕
칸타코리아,기업,수입,초홀핏,품목,시기:2022년 3월,수입액:86% 인지도
프리미엄 소홀릿,품목,수입,이달리야,국가,시기:2022년,수입액:11.4%
로데월푸드,기업,수출,초코과자,품목,시기:2019년 이후,수출액증가율:6.5%
오리온,기업,생산,다이제블,품목,시기:2022년,수출량
오리온,기업,생산,송이모자,품목,시기:2022년,수출량
칸타코리아,기업,수입,이달리야 소홀핏,품목,시기:2022년 3월,인지도:86% 조사
반즈 ABC,기업,생산,초코바,품목,시기:2022년,시장점유율:19.2%
WNWN Food Labs,기업,생산,감추할 수 있는 카카오,품목,시기:2020년 이후,환경친화적 생산
칸타월드패널,기관,시장조사,불론드 조홀핏,품목,시기:2027년,성장률:59796
마즈 리글리,기업,생산,불론드 조홀핏,품목,시기:2022년,시장 성장
웨이트로즈,기업,수요,불론드 조홀핏,품목,시기:2022년,소비자 증가
Mintell,기관,시장예측,초홀핏,품목,시기:2027년,시장규모:299800만달러
Innova Market Insights,기관,시장동향,초홀핏,품목,시기:2022년,건강성분 비율:20.7%
코트디부아르,국가,생산,카카오,품목,시기:지난 50년,열대우림 파괴
가나,국가,생산,카카오,품목,시기:2020년,아동 노동자수:756만명
미국,국가,생산,감추할 수 있는 카카오,품목,시기:2020년,생산지
이달리야,국가,수입,소홀핏,품목,시기:2022년 3월,인지도:86% 조사
