엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,수입,건나물,품목,시기:2024년;국가:호주
호주,국가,수입,HS CODE 0712.90,품목,시기:2023년;수입액:4326억원
호주,국가,수입,한국,국가,시기:2019-2023;수입액:22억원
호주,국가,수입,중국,국가,시기:2019-2023;수입액:23760억 원
호주,국가,수입,튀르키예,국가,시기:2019-2023;수입액:476억 원
호주,국가,수입,뉴질랜드,국가,시기:2019-2023;수입액:272억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:25686억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:158억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:115억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:161억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:242억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:212억 원
