엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,스프레드 시장,시장,시기:2024;규모:3.2조원
베트남,국가,시장규모,잼 및 마멀레이드 시장,시장,시기:2023;규모:3.0조원
베트남,국가,HS CODE,2007.99 품목,품목,시기:2022;수입액:161억 원
베트남,국가,수입,한국,국가,시기:2022;수입액:4억 원
베트남,국가,수입,중국,국가,시기:2023;수입액:90억 원
베트남,국가,수입,태국,국가,시기:2023;수입액:21억 원
베트남,국가,수입,말레이시아,국가,시기:2023;수입액:14억 원
베트남,국가,시장,젤리시장,시장,시기:2024;성장률:6.1%
베트남,국가,시장,젤리시장,시장,시기:2024;성장률:6.1%
베트남,국가,시장,젤리시장,시장,시기:2024;규모:수십억 달러
베트남,국가,시장,잼 및 마멀레이드 시장,시장,시기:2023;규모:3.0조 원
베트남,국가,시장,스프레드 시장,시장,시기:2023;규모:3.2조 원
베트남,국가,시장,잼 및 마멀레이드 시장,시장,시기:2023;규모:3.0조 원
베트남,국가,시장,젤리시장,시장,시기:2024;성장률:6.7%
베트남,국가,시장,젤리시장,시장,시기:2024;규모:수십억 달러
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:161억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:161억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
베트남,국가,HS CODE,2007.99,품목,시기:2022;수입액:4억 원
