엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
몽골,국가,수입,복숭아,품목,시기:2024년;시장규모:3770억 원
한국,국가,수출,복숭아,품목,시기:2024년;수출액:최대 30,000원/kg
중국,국가,생산,복숭아,품목,시기:2023년;시장점유율:높음
우즈베키스탄,국가,생산,복숭아,품목,시기:2023년;시장점유율:보통
한국산,기업,생산,복숭아,품목,시기:2024년;가격범위:12000~13500투그릭/kg
몽골,국가,수입,HS CODE 0809.30,품목,시기:2023;수입액:430만 원
몽골,국가,수입,한국,국가,시기:2023;수입액:1101만 원
몽골,국가,수입,중국,국가,시기:2023;수입액:4.1억 원
한국,기업,수출,복숭아,품목,시기:2024;가격대:12000~14000투그릭/kg
한국,기업,유통,한국산 복숭아,품목,채널:슈퍼마켓, 온라인,백화점
몽골,국가,유통,신선과일,품목,시기:2023;채널:오프라인 97.6%
한국,국가,수출,신선과일,품목,시기:2023;수출액:2200만 달러
한국,기업,유통,한국산 복숭아,품목,채널:슈퍼마켓, 온라인,백화점
몽골,국가,유통,복숭아,품목,시기:2023;채널:오프라인 주도
몽골,국가,생산,현지 과일,품목,시기:2023;종류:블루베리, 아니스, 머이르, 블랙커런트, 딸기
한국,기업,수출,복숭아,품목,시기:2024;가격대:12000~13500투그릭/kg
몽골,국가,수입,복숭아,품목,시기:2023;가격:3.25~5달러/kg
