엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
친환경농산물,품목,생산,양곡,품목,생산량:474000
친환경농산물,품목,생산,과실류,품목,생산량:15000
친환경농산물,품목,생산,채소류,품목,생산량:139000
친환경농산물,품목,생산,서류,품목,생산량:8000
친환경농산물,품목,생산,특용작물,품목,생산량:165000
친환경농산물,품목,생산,두류,품목,생산량:1000
친환경농산물,품목,생산,기타,품목,생산량:8000
친환경농산물,품목,생산,유기축산물,품목,생산량:약 128000
친환경농산물,품목,생산,무농약농산물,품목,생산량:약 345000
친환경농산물,품목,생산,무항생제축산물,품목,생산량:약 183600
친환경농산물,품목,생산,유기농축산물,품목,생산량:약 128000
친환경농산물,품목,생산,유기가공식품,품목,생산량:약 1500억 원 매출
친환경농산물,품목,생산,무농약원료가공식품,품목,생산량:약 1500억 원 매출
친환경농산물,품목,생산,저농약농산물,품목,생산량:약 345000
친환경농산물,품목,생산,무항생제축산물,품목,생산량:약 183600
친환경농산물,품목,생산,유기축산물,품목,생산량:약 128000
친환경농산물,품목,생산,유기농축산물,품목,생산량:약 128000
친환경농산물,품목,생산,가공식품,품목,매출액:약 1500억 원
친환경농산물,품목,생산,비식품,품목,매출액:약 1500억 원
친환경농산물,품목,생산,양곡,품목,생산량,비율:23.3%
친환경농산물,품목,생산,채소류,품목,생산량,비율:29.4%
친환경농산물,품목,생산,과실류,품목,생산량,비율:3.2%
친환경농산물,품목,생산,서류,품목,생산량,비율:0.2%
친환경농산물,품목,생산,특용작물,품목,생산량,비율:34.9%
친환경농산물,품목,생산,두류,품목,생산량,비율:0.3%
친환경농산물,품목,생산,기타,품목,생산량,비율:1.7%
친환경농산물,품목,생산,양곡,품목,생산량,연도별,비중
양곡,품목,생산,2012,22.9%
양곡,품목,생산,2013,23.6%
양곡,품목,생산,2014,19.1%
양곡,품목,생산,2015,29.5%
양곡,품목,생산,2016,40.9%
양곡,품목,생산,2017,33.8%
양곡,품목,생산,2018,34.6%
양곡,품목,생산,2019,31.0%
양곡,품목,생산,2020,29.1%
양곡,품목,생산,2021,31.8%
양곡,품목,생산,2022,23.3%
양곡,품목,생산,2023,23.3%
채소류,품목,생산,2012,39.0%
채소류,품목,생산,2013,29.0%
채소류,품목,생산,2014,30.3%
채소류,품목,생산,2015,26.0%
채소류,품목,생산,2016,25.5%
채소류,품목,생산,2017,28.0%
채소류,품목,생산,2018,27.0%
채소류,품목,생산,2019,29.2%
채소류,품목,생산,2020,27.0%
채소류,품목,생산,2021,29.3%
채소류,품목,생산,2022,31.7%
채소류,품목,생산,2023,29.4%
과실류,품목,생산,2012,22.8%
과실류,품목,생산,2013,27.9%
과실류,품목,생산,2014,25.2%
과실류,품목,생산,2015,20.1%
과실류,품목,생산,2016,7.9%
과실류,품목,생산,2017,5.5%
과실류,품목,생산,2018,5.1%
과실류,품목,생산,2019,4.8%
과실류,품목,생산,2020,4.2%
과실류,품목,생산,2021,3.5%
과실류,품목,생산,2022,4.0%
과실류,품목,생산,2023,3.2%
기타,품목,생산,2010,0.0%
기타,품목,생산,2011,0.0%
기타,품목,생산,2012,1.6%
기타,품목,생산,2013,2.2%
기타,품목,생산,2014,1.2%
기타,품목,생산,2015,1.8%
기타,품목,생산,2016,1.2%
기타,품목,생산,2017,2.8%
기타,품목,생산,2018,2.8%
기타,품목,생산,2019,2.8%
기타,품목,생산,2020,2.8%
기타,품목,생산,2021,2.8%
기타,품목,생산,2022,1.7%
기타,품목,생산,2023,1.7%
유기축산물,품목,생산,2012,약 128000
유기축산물,품목,생산,2013,약 128000
유기축산물,품목,생산,2014,약 128000
유기축산물,품목,생산,2015,약 128000
유기축산물,품목,생산,2016,약 128000
유기축산물,품목,생산,2017,약 128000
유기축산물,품목,생산,2018,약 128000
유기축산물,품목,생산,2019,약 128000
유기축산물,품목,생산,2020,약 128000
유기축산물,품목,생산,2021,약 128000
유기축산물,품목,생산,2022,약 128000
유기축산물,품목,생산,2023,약 128000
