엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,수출,쌀,품목,시기:2022;수출액:2917660
베트남,국가,수출,볶지않은커피,품목,시기:2022;수출액:2822756
베트남,국가,수출,캐슈너트,품목,시기:2022;수출액:2512621
베트남,국가,수출,카사바전분,품목,시기:2022;수출액:1179389
베트남,국가,수출,식용과실,품목,시기:2022;수출액:842705
베트남,국가,수출,견과류·씨,품목,시기:2022;수출액:712781
베트남,국가,수출,후추,품목,시기:2022;수출액:710828
베트남,국가,수출,커피 농축물,품목,시기:2022;수출액:426961
베트남,국가,수출,조제식료품,품목,시기:2022;수출액:416021
베트남,국가,수출,바나나,품목,시기:2022;수출액:307170
베트남,국가,수입,옥수수,품목,시기:2022;수입액:3306832
베트남,국가,수입,대두유 추출 유박,품목,시기:2022;수입액:2835717
베트남,국가,수입,캐슈너트,품목,시기:2022;수입액:2299091
베트남,국가,수입,밀,품목,시기:2022;수입액:1506463
베트남,국가,수입,대두,품목,시기:2022;수입액:1274699
베트남,국가,수입,팜유,품목,시기:2022;수입액:1260845
베트남,국가,수입,카사바,품목,시기:2022;수입액:1175864
베트남,국가,수입,조제식료품,품목,시기:2022;수입액:1137012
베트남,국가,수입,냉동 쇠고기,품목,시기:2022;수입액:747962
베트남,국가,수입,박,품목,시기:2022;수입액:520382
한국,기업,수출,한국산 조제식료품,품목,시기:2023;수출액:86170
한국,기업,수출,한국산 냉동 닭고기,품목,시기:2023;수출액:54338
한국,기업,수출,한국산 무알코올 음료,품목,시기:2023;수출액:48602
한국,기업,수출,한국산 김,품목,시기:2023;수출액:28265
한국,기업,수출,한국산 라면,품목,시기:2023;수출액:17892
한국,기업,수출,한국산 홍삼조제품,품목,시기:2023;수출액:15797
한국,기업,수출,한국산 조제분유,품목,시기:2023;수출액:12573
한국,기업,수출,한국산 인삼류,품목,시기:2023;수출액:31635
한국,기업,수출,한국산 소스류,품목,시기:2023;수출액:18097
한국,기업,수출,한국산 영유아식품,품목,시기:2023;수출액:11221
베트남,국가,수입,한국산 조제식료품,품목,시기:2023;수입액:86170
베트남,국가,수입,한국산 냉동 닭고기,품목,시기:2023;수입액:54338
베트남,국가,수입,한국산 무알코올 음료,품목,시기:2023;수입액:48602
베트남,국가,수입,한국산 김,품목,시기:2023;수입액:28265
베트남,국가,수입,한국산 라면,품목,시기:2023;수입액:17892
베트남,국가,수입,한국산 홍삼조제품,품목,시기:2023;수입액:15797
베트남,국가,수입,한국산 조제분유,품목,시기:2023;수입액:12573
베트남,국가,수입,한국산 인삼류,품목,시기:2023;수입액:31635
베트남,국가,수입,한국산 소스류,품목,시기:2023;수입액:18097
베트남,국가,수입,한국산 영유아식품,품목,시기:2023;수입액:11221
