엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,보리차,품목,시기:2024년;시장규모:47.1조원
일본,국가,시장성,보리차,품목,시기:2023년;시장규모:31.5조원
일본,국가,성장전망,보리차,품목,시기:2024-2028년;연평균성장률:3.7%
일본,국가,수입액,HS CODE 2101.30,품목,시기:2019-2023;수입액:42억 원
일본,국가,수입액,HS CODE 2101.30,품목,시기:2023;수입액:23억 원
일본,국가,수출입제도,일본 후생노동성,기관,시기:2024년;목적:식품수출 사전등록
일본,국가,인증,JAS,기관,시기:현재;목적:유기농 인증
일본,국가,인증,HACCP,기관,시기:2021년 6월 1일 이후;목적:식품위생 안전
일본,국가,인증,FSSC 22000,기관,시기:현재;목적:식품생산 안전
일본,국가,인증,ISO 22000,기관,시기:현재;목적:식품생산 안전
일본,국가,인증,IFS,기관,시기:현재;목적:식품생산 안전
일본,국가,인증,JAS,기관,시기:현재;목적:유기농 식품인증
일본,국가,라벨링기준,일본어 표기,품목,시기:현재;내용:제품명,원재료,첨가물,내용량,영양성분
일본,국가,유해물질기준,잔류허용기준,품목,시기:현재;물질:플루아지남,부프로페진,비펜트린,아플라톡신 B1,컴프리
일본,국가,알레르겐성분규정,표기 의무,품목,시기:현재;대상:밀,새우,게,달걀,땅콩,우유,메밀,호두,아몬드,전복,오징어,연어,연어알,고등어
일본,기업,라이프,유통업체,관계,위치:일본 전역,규모:매장수 308개,매출액:6조 9674억 원
일본,기업,맥스밸류,유통업체,관계,위치:일본 전역,규모:매장수 721개,매출액:3조 3383억 원
일본,기업,츠루하,드럭스토어,관계,위치:일본 전역,매장수:2589개
일본,기업,마츠모토키요시,드럭스토어,관계,위치:일본 전역,매장수:1878개
일본,기업,비오세봉,유기농매장,관계,위치:도쿄,매장수:24개
일본,기업,아마존,온라인쇼핑몰,관계,시기:2024년 10월,매출액:33조 2500억 원
일본,브랜드,이토엔,보리차,관계,시기:현재;특징:다양한 차 음료 판매
일본,브랜드,에이지에프,보리차,관계,시기:현재
일본,브랜드,낫토리레,보리차,관계,시기:현재
일본,브랜드,코카콜라,차 음료,관계,시기:현재
일본,브랜드,산토리,차 음료,관계,시기:현재
일본,제품,보리차 농축액,품목,시기:현재;용량:19g x 30개,가격:1503엔
일본,제품,보리차 페트병용,품목,시기:현재;용량:15g x 10개 x 20봉지,가격:5400엔
일본,제품,보리차,품목,시기:현재;포장형태:팩,캔,상자
일본,제품,보리차,품목,시기:현재;특징:무카페인,유기농,농축액
일본,제품,보리차,품목,시기:현재;포장형태:450ml 팩,캔,페트병
일본,제품,보리차,품목,시기:현재;가격대:1000엔 내외
일본,시장,보리차,품목,시기:2024;성장전망:연평균 3.7%
일본,시장,보리차,품목,시기:2019-2023;수입액:42억 원
일본,시장,보리차,품목,시기:2023;수입액:23억 원
일본,시장,보리차,품목,시기:2024;포장형태:스틱,팩,캔
일본,시장,보리차,품목,시기:현재;주요 유통채널:슈퍼마켓,드럭스토어,온라인
일본,시장,보리차,품목,시기:현재;경쟁사:농축액,RTD,티백
일본,시장,보리차,품목,시기:현재;소비자 트렌드:편리성,건강,농축액 선호
