엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,시장규모,수산가공식품,품목,시기:2024;시장규모:2.50조원
한국,국가,수출,김,품목,시기:2023;수출액:6880억 원
태국,국가,수입,김,품목,시기:2023;수입액:77억 원
태국,국가,수입,조미김,품목,시기:2023;수입액:77억 원
한국,기업,생산,김,품목,시기:2022;생산량:550222톤
한국,기업,수출,김,품목,시기:2023;수출액:6880억 원
태국,국가,시장성장,수산가공식품,품목,시기:2024-2028;연평균성장률:4.8%
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
태국,국가,수입,HS CODE 2008.99-5010,품목,시기:2023;수입액:77억 원
태국,국가,수입,HS CODE 1212.21-1010,품목,시기:2023;수입액:3,849톤,금액:841억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:1만6719톤,금액:6880억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:77억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:77억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
한국,기업,수출,김,품목,시기:2023;수출액:6880억 원
한국,기업,수출,조미김,HS CODE,시기:2023;수출량:207톤,금액:75억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
태국,국가,수입,HS CODE 2008.99-5010,품목,시기:2023;수입액:77억 원
태국,국가,수입,HS CODE 1212.21-1010,품목,시기:2023;수입량:3849톤,금액:841억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입량:16771톤,금액:4044억 원
한국,기업,생산,김,품목,시기:2022;생산량:550222톤
한국,국가,수출,김,품목,시기:2023;수출액:6880억 원
태국,국가,시장성장,수산가공식품,품목,시기:2024-2028;연평균성장률:4.8%
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억 원
태국,국가,수입,HS CODE 1212.21,품목,시기:2023;수입액:940억 원
