엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,수출,농식품,품목,시기:2023년
필리핀,국가,수입,농식품,품목,시기:2023년
필리핀,국가,수입,수입품목,품목,시기:2023년
필리핀,국가,수입,수입업체,기업,업체명:ShineKmart;담당자:Charlotte Falguerave
필리핀,국가,수입,수입면허,면허,발급기관:Bureau of Internal Revenue;시기:2024년1월4일
필리핀,국가,수입,수입등록,등록,기관:FDA;시기:2023년
필리핀,국가,수입,수입검사,검사,방식:슈퍼녹색라인;적색라인;녹색라인
필리핀,국가,수입,수입신고,신고,시스템:National Single Window
필리핀,국가,수입,수입품목,품목,품목명:딸기;파프리카;감귤
필리핀,국가,수입,수입품목,품목,품목명:가공식품;신선농산물;축산물
필리핀,국가,수입,수입품목,품목,품목명:가공식품,품목
필리핀,국가,수입,수입품목,품목,품목명:동식물성식품,품목
필리핀,국가,수입,수입품목,품목,품목명:농축산물,품목
필리핀,국가,수입,수입품목,품목,품목명:식품첨가물,품목
필리핀,국가,수입,수입품목,품목,품목명:트랜스지방산(TFA),품목
필리핀,국가,수입,수입품목,품목,품목명:락색소,품목
필리핀,국가,수입,수입품목,품목,품목명:농산물,품목
필리핀,국가,수입,수입품목,품목,품목명:가공식품,품목
필리핀,국가,수입,수입품목,품목,품목명:동식물성식품,품목
필리핀,국가,수입,수입품목,품목,품목명:농축산물,품목
필리핀,국가,수입,수입품목,품목,품목명:식품첨가물,품목
필리핀,국가,수입,수입품목,품목,품목명:트랜스지방산(TFA),품목
필리핀,국가,수입,수입품목,품목,품목명:락색소,품목
필리핀,국가,수입,수입품목,품목,품목명:농산물,품목
필리핀,국가,수입,수입품목,품목,품목명:가공식품,품목
필리핀,국가,수입,수입품목,품목,품목명:동식물성식품,품목
필리핀,국가,수입,수입품목,품목,품목명:농축산물,품목
필리핀,국가,수입,수입품목,품목,품목명:식품첨가물,품목
필리핀,국가,수입,수입품목,품목,품목명:트랜스지방산(TFA),품목
필리핀,국가,수입,수입품목,품목,품목명:락색소,품목
필리핀,국가,수입,수입품목,품목,품목명:농산물,품목
필리핀,국가,수입,수입품목,품목,품목명:가공식품,품목
필리핀,국가,수입,수입품목,품목,품목명:동식물성식품,품목
필리핀,국가,수입,수입품목,품목,품목명:농축산물,품목
필리핀,국가,수입,수입품목,품목,품목명:식품첨가물,품목
필리핀,국가,수입,수입품목,품목,품목명:트랜스지방산(TFA),품목
필리핀,국가,수입,수입품목,품목,품목명:락색소,품목
