엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,시장규모,수산가공식품,품목,시기:2024년;시장규모:2.50조원
한국,국가,수출,김부각,품목,시기:2023;수출액:842만원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입액:1848억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:77억 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입액:46억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:3398만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:749만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:424만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입량:228톤
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입량:515톤
태국,국가,수출,한국,국가,시기:2023;수출액:842만 원
한국,국가,수출,태국,국가,시기:2023;수출액:842만 원
태국,국가,수출,대만,국가,시기:2023;수출량:627톤
태국,국가,수출,중국,국가,시기:2023;수출량:3448톤
태국,국가,수출,일본,국가,시기:2023;수출량:23톤
태국,국가,수출,홍콩,국가,시기:2023;수출단가:5226만 원
태국,국가,수출,스위스,국가,시기:2023;수출단가:3248만 원
태국,국가,수출,호주,국가,시기:2023;수출단가:2208만 원
태국,국가,수출,말레이시아,국가,시기:2023;수출액:924억 원
태국,국가,수출,중국,국가,시기:2023;수출액:223억 원
태국,국가,수출,베트남,국가,시기:2023;수출액:190억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입액:325억 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입액:1848억 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:3398만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:749만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입량:228톤
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입량:515톤
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:424만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:3398만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:24676달러
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:424만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:749만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:3398만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:424만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:24676달러
태국,국가,수입,HS CODE 2008.99,품목,시기:2023;수입단가:3398만 원
태국,국가,수입,HS CODE 1905.90,품목,시기:2023;수입단가:6441만 원
