엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
프랑스,국가,수입,김,품목,시기:2024년;시장규모:3.1조원
한국,국가,수출,김,품목,시기:2023년;수출규모:6363억 원
HS CODE 2008.99,품목,수입,프랑스,국가,수입규모:3332억 원;시기:2023년
HS CODE 2008.99-5010,품목,수입,프랑스,국가,수입규모:90억 원;시기:2023년
HS CODE 2008.99,품목,수입,한국,국가,수입규모:90억 원;시기:2023년
HS CODE 2008.99,품목,수입,일본,국가,수입규모:약 300억 원;시기:2023년
HS CODE 2008.99,품목,수입,리투아니아,국가,수입단가:38787000원;시기:2023년
HS CODE 2008.99,품목,수입,칠레,국가,수입단가:16740000원;시기:2023년
HS CODE 2008.99,품목,수입,네덜란드,국가,수입규모:375억 원;시기:2023년
HS CODE 2008.99,품목,수입,스페인,국가,수입규모:343억 원;시기:2023년
김,품목,생산,한국,국가,생산량:550422톤;시기:2022년
김,품목,수출,한국,국가,수출량:18599톤;시기:2023년
김,품목,수입,프랑스,국가,수입규모:3332억 원;시기:2023년
김,품목,수입단가,프랑스,국가,수입단가:315만 원/톤;시기:2023년
김,품목,수입,한국,국가,수입규모:90억 원;시기:2023년
김,품목,수입,일본,국가,수입규모:약 300억 원;시기:2023년
김,품목,수입,리투아니아,국가,수입단가:38787000원/톤;시기:2023년
김,품목,수입,칠레,국가,수입단가:16740000원/톤;시기:2023년
김,품목,수입,네덜란드,국가,수입규모:375억 원;시기:2023년
김,품목,수입,스페인,국가,수입규모:343억 원;시기:2023년
김,품목,수입,영국,국가,수입규모:151억 원;시기:2023년
김,품목,수입,독일,국가,수입규모:500억 원;시기:2023년
김,품목,수입,프랑스,국가,수입규모:90억 원;시기:2023년
김,품목,생산,한국,국가,생산량:550422톤;시기:2022년
김,품목,수출,한국,국가,수출량:18599톤;시기:2023년
김,품목,수입,프랑스,국가,수입규모:3332억 원;시기:2023년
김,품목,수입단가,프랑스,국가,수입단가:315만 원/톤;시기:2023년
김,품목,수입,한국,국가,수입규모:90억 원;시기:2023년
김,품목,수입,일본,국가,수입규모:약 300억 원;시기:2023년
김,품목,수입,리투아니아,국가,수입단가:38787000원/톤;시기:2023년
김,품목,수입,칠레,국가,수입단가:16740000원/톤;시기:2023년
김,품목,수입,네덜란드,국가,수입규모:375억 원;시기:2023년
김,품목,수입,스페인,국가,수입규모:343억 원;시기:2023년
김,품목,수입,영국,국가,수입규모:151억 원;시기:2023년
김,품목,수입,독일,국가,수입규모:500억 원;시기:2023년
김,품목,수입,프랑스,국가,수입규모:90억 원;시기:2023년
