엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,시장,식품 시장,시장,시기:2023년;시장규모:148594억달러
한국,국가,생산,한국산 식품,품목,품목:소스|한국산
중국,국가,수입,중국 수입,시장,시기:2022년;수입금액:1682억달러
미국,국가,수입,미국 수입,시장,시기:2022년;수입금액:168.2억달러
브라질,국가,수입,브라질 수입,시장,시기:2022년;수입금액:128.5억달러
뉴질랜드,국가,수입,뉴질랜드 수입,시장,시기:2022년;수입금액:108.9억달러
태국,국가,수입,태국 수입,시장,시기:2022년;수입금액:100.9억달러
인도네시아,국가,수입,인도네시아 수입,시장,시기:2022년;수입금액:87억달러
한국,국가,수출,한국 수출,시장,시기:2022년;수출금액:22억달러
중국,국가,수입,중국 수입,시장,시기:2022년;수입금액:168.2억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류|수산물|과일|유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류 및 그 제품, 곡류 및 그 제품, 과일 및 그 제품, 수산물 및 그 제품, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류 및 그 제품, 곡류 및 그 제품, 과일 및 그 제품, 수산물 및 그 제품, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입금액:41.8억달러
중국,국가,수입,중국 수입,시장,시기:2023년 1~4월;수입품목:육류, 곡류, 과일, 수산물, 유제품
