엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,수입,유산균음료,품목,시기:2024년;시장규모:260000000000원
UAE,국가,수입,소화제&정장제,품목,시기:2024년;시장규모:77400000000원
UAE,국가,수입,HS CODE 0403.20,품목,시기:2022년;수입액:52500000000원
UAE,국가,수입,한국,국가,수입액:24030000원;시기:2022년
UAE,국가,수입,사우디아라비아,국가,수입액:362000000000원;시기:2023년
UAE,국가,수입,영국,국가,수입액:58000000000원;시기:2023년
UAE,국가,수입,그리스,국가,수입액:48000000000원;시기:2023년
유산균음료,품목,생산,나다(NADA),기업,시기:2024년;특징:요거트,프로바이오틱스,비타민,칼슘 포함
유산균음료,품목,생산,액티멜(Actimel),기업,시기:2024년;특징:딸기,망고 맛
유산균음료,품목,생산,액티비아(Activia),기업,시기:2024년;특징:복숭아,딸기,요거트
유산균음료,품목,생산,리퀴드레메디(Liquid Remedy),기업,시기:2024년;특징:무설탕,천연,유기농
유산균음료,품목,생산,데라까예(De La Calle),기업,시기:2024년;특징:무설탕,천연
UAE,국가,수입,한국,국가,HS CODE 0403.20 수입액:24030000원;시기:2022년
UAE,국가,수입,사우디아라비아,국가,수입액:362000000000원;시기:2023년
UAE,국가,수입,영국,국가,수입액:58000000000원;시기:2023년
유산균음료,품목,수입,HS CODE 0403.20,품목,시기:2022년;수입액:52500000000원
유산균음료,품목,수입,한국,국가,수입액:24030000원;시기:2022년
유산균음료,품목,생산,나다(NADA),기업,시기:2024년;특징:요거트,프로바이오틱스,비타민,칼슘 포함
유산균음료,품목,생산,액티멜(Actimel),기업,시기:2024년;특징:딸기,망고 맛
유산균음료,품목,생산,액티비아(Activia),기업,시기:2024년;특징:복숭아,딸기,요거트
유산균음료,품목,생산,리퀴드레메디(Liquid Remedy),기업,시기:2024년;특징:무설탕,천연,유기농
유산균음료,품목,생산,데라까예(De La Calle),기업,시기:2024년;특징:무설탕,천연
