엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,생산,염장다시마,품목,생산규모:966만톤;시기:2019
한국,국가,수출,염장다시마,품목,수출금액:9억 원;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:225억 원;시기:2023
한국,기업,수출,염장다시마,품목,수출량:794톤;시기:2023
인도네시아,국가,수입단가,염장다시마,품목,수입단가:1532만 원/톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:273억 원;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:225억 원;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:61톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:20톤;시기:2023
인도네시아,국가,수입단가,염장다시마,품목,수입단가:1532만 원/톤;시기:2023
한국,기업,수출,염장다시마,품목,수출량:794톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:225억 원;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:61톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:20톤;시기:2023
인도네시아,국가,수입단가,염장다시마,품목,수입단가:1532만 원/톤;시기:2023
한국,기업,수출,염장다시마,품목,수출량:794톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:225억 원;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:61톤;시기:2023
인도네시아,국가,수입,염장다시마,품목,수입액:20톤;시기:2023
