엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,일반의약품시장,시장,시기:2024;규모:1.1조원
베트남,국가,시장규모,비타민및미네랄시장,시장,시기:2024;규모:1344억원
베트남,국가,수입액,HS CODE 2106.90,품목,시기:2022;수입액:1600000000000
베트남,국가,수입액,대한국수입액,수입,시기:2022;수입액:749억원
베트남,국가,시장성장률,일반의약품시장,성장률,시기:2019-2023;연평균성장률:4.6%
베트남,국가,시장성장률,일반의약품시장,성장률,시기:2024-2028;연평균성장률:6.6%
베트남,국가,시장성장률,비타민및미네랄시장,성장률,시기:2019-2023;연평균성장률:7.4%
베트남,국가,시장성장률,비타민및미네랄시장,성장률,시기:2024-2028;연평균성장률:6.0%
베트남,국가,수입액,HS CODE 2106.90,수입액,시기:2022;수입액:749억원
베트남,국가,수입액,대한국수입액,수입,시기:2022;수입액:54428
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:약국:31.2%
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:건강식품전문점:29.1%
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:온라인:19.0%
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:슈퍼마켓:17.5%
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:기타:3.2%
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:온라인:58.3% (한국 기준)
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:건강식품전문점:17.4% (한국 기준)
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:약국:16.7% (한국 기준)
베트남,국가,유통채널,홍삼콜라겐젤리,유통채널,시기:2022;점유율:오프라인:약국, 건강식품전문점, 슈퍼마켓
베트남,국가,포장형태,홍삼콜라겐젤리,포장형태,시기:2024;중량:70ml,50ml,25g,20g,100ml
베트남,국가,포장재질,홍삼콜라겐젤리,포장재질,시기:2024;포장재:종이상자,캡슐,젤리
베트남,국가,인증,VFA 적합성 인증,인증,시기:2022;기관:베트남보건부(MOH)
베트남,국가,인증,GMP,인증,시기:2019년7월이후;적용대상:건강기능식품
베트남,국가,라벨링,홍삼콜라겐젤리,라벨,시기:2021;기준:베트남어 표기, 원산지 표기, 제조일, 유통기한
베트남,국가,성분,홍삼콜라겐젤리,성분,시기:2024;주성분:홍삼농축액,석류농축액,배농축액,오미자농축액,콜라겐
베트남,국가,유해물질기준,홍삼콜라겐젤리,유해물질기준,시기:2024;잔류허용기준:카드뮴 3.0mg/kg,수은 0.1mg/kg,납 3.0mg/kg
베트남,국가,알레르겐성분,홍삼콜라겐젤리,알레르겐,시기:2024;성분:밀,갑각류,달걀,어류,땅콩,유제품,견과류,아황산염
베트남,국가,포장일자,홍삼콜라겐젤리,포장일자,시기:2024;표기:일-월-년 또는 월-년
베트남,국가,수출통관,홍삼콜라겐젤리,통관,시기:2024;서류:자유판매증명서,원산지증명서,검역등록
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;검역절차:검역등록,검사기관심사
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;검사:검역,잔류허용기준준수
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;적합성평가:VFA인증필수
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;GMP인증필수
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;라벨표기:베트남어 필수
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;원산지 표기:국가명 또는 지역명
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;제조일자,유통기한 표기
베트남,국가,수입식품,홍삼콜라겐젤리,수입식품,시기:2024;라벨 표기기준:성분, 원산지, 제조일, 유통기한
베트남,국가,수입업체,인삼푹틴컴퍼니리미티드,업체,시기:2015;취급품목:홍삼, 건홍삼, 영지버섯, 동충하초
베트남,국가,시장동향,홍삼,시장,시기:2023;수요증가, 건강기능식품 인기
베트남,국가,시장동향,홍삼,시장,시기:2023;수요증가, 노인 건강
베트남,국가,시장동향,홍삼,시장,시기:2023;수요증가, 중장년층
베트남,국가,시장동향,홍삼,시장,시기:2023;수요증가, 젊은층
