("entity"|네덜란드|GEO|Country with a population of 17.6 million, area of 41,865 km², and a GDP of 1.18 trillion USD, known for its advanced food tech and diverse food market including sauces and spices)**
("entity"|네덜란드소스및향신료시장|PRODUCT|Market size of sauces and spices in the Netherlands, with a total value of approximately 1.36 trillion KRW in 2023, showing a CAGR of 6.4% from 2019 to 2023)**
("entity"|네덜란드기타소스시장|PRODUCT|Market size of other sauces excluding hot sauce, estimated at 337.7 billion KRW in 2023, with a CAGR of 4.0% from 2019 to 2023)**
("entity"|네덜란드핫소스수입규모|PRODUCT|Netherlands' hot sauce import volume, valued at approximately 663 billion KRW in 2023, with a CAGR of 7.6% from 2019 to 2023)**
("entity"|네덜란드對한국수입액|PRODUCT|Netherlands' hot sauce import from Korea, reaching about 6.7 billion KRW in 2023, with a 40.4% increase over 5 years)**
("entity"|네덜란드HS CODE 2103.90|PRODUCT|HS code for 'Other sauces' imported by the Netherlands, with import value of 663 billion KRW in 2023)**
("entity"|네덜란드 온라인 쇼핑몰 볼닷컴|ORGANIZATION|Online retailer with a sales volume of 8.38 trillion KRW in 2023, offering brands like Tabasco, Cholula, El Yucateco, and others, with international sales capabilities)**
("entity"|네덜란드 하이퍼마켓 알버트하인|ORGANIZATION|Major Dutch hypermarket chain with 1154 stores, annual sales of approximately 17.35 trillion KRW, and extensive distribution of sauces including hot sauce)**
("entity"|네덜란드 슈퍼마켓 윰보|ORGANIZATION|Supermarket chain with 692 stores, annual sales of about 15.94 trillion KRW, serving as a key distribution channel for sauces)**
("entity"|네덜란드 슈퍼마켓 리들|ORGANIZATION|Supermarket chain with 1154 stores, annual sales of approximately 15.94 trillion KRW, with a focus on affordable products including sauces)**
("entity"|네덜란드 유기농 유통업체 알버트하인|ORGANIZATION|Major Dutch supermarket chain emphasizing organic and sustainable products, with extensive sauce offerings)**
("entity"|네덜란드 온라인 종합쇼핑몰 볼닷컴|ORGANIZATION|E-commerce platform with 8.38 trillion KRW sales, selling brands like Tabasco, Cholula, El Yucateco, with international shipping)**
("entity"|네덜란드 슈퍼마켓 윰보|ORGANIZATION|Supermarket chain with 692 stores, annual sales of 15.94 trillion KRW, active in sauce distribution)**
("entity"|네덜란드 슈퍼마켓 리들|ORGANIZATION|Supermarket chain with 1154 stores, annual sales of 15.94 trillion KRW, focusing on affordable sauces)**
