query_id,query_text,team_type,overall_score,grade,success_rate,quality_score,completeness_rate,hallucination_count,efficiency_score,citation_accuracy,total_time,sources_count
구매 담당자_q01,국내 농산물 가격 변동 추이 및 구매 최적화 전략 보고서를 작성해주세요,구매 담당자,8.21,B,1.0,8.194999999999999,0.8333333333333334,3,6.5,1.0,88.76342844963074,17
구매 담당자_q02,글로벌 식자재 공급망 리스크 관리 방안 보고서를 작성해주세요,구매 담당자,8.21,B,1.0,7.355,1.0,6,6.5,1.0,85.24257707595825,32
구매 담당자_q03,친환경 유기농 식재료 소싱 가이드 보고서를 작성해주세요,구매 담당자,8.86,B+,1.0,8.603,1.0,3,6.5,1.0,80.08387517929077,38
급식 운영 담당자_q01,사내 급식 메뉴 다양화 및 영양 균형 개선 방안 보고서를 작성해주세요,급식 운영 담당자,7.85,C+,1.0,7.154,1.0,3,6.5,1.0,110.79578375816345,44
급식 운영 담당자_q02,계절별 식자재 원가 절감 및 대체 식재료 활용 전략 보고서를 작성해주세요,급식 운영 담당자,8.77,B+,1.0,8.501,1.0,3,6.5,1.0,92.26832365989685,39
급식 운영 담당자_q03,직원 만족도 향상을 위한 급식 운영 개선 방안 보고서를 작성해주세요,급식 운영 담당자,8.47,B,1.0,8.603,1.0,3,6.5,1.0,65.7084493637085,23
마케팅 담당자_q01,2024년 대체육 시장 동향 및 소비자 선호도 분석 보고서를 작성해주세요,마케팅 담당자,8.83,B+,1.0,8.354,1.0,5,8.5,1.0,68.64986610412598,22
마케팅 담당자_q02,밀키트 산업의 성장 전략과 마케팅 방안 보고서를 작성해주세요,마케팅 담당자,8.43,B,1.0,7.805,1.0,4,6.5,1.0,79.79640674591064,35
마케팅 담당자_q03,MZ세대 타겟 건강기능식품 시장 진입 전략 보고서를 작성해주세요,마케팅 담당자,8.84,B+,1.0,8.606,1.0,5,6.5,1.0,105.25878238677979,37
제품 개발 연구원_q01,기능성 식품 원료 트렌드 및 신소재 연구 동향 보고서를 작성해주세요,제품 개발 연구원,9.08,A,1.0,8.152,1.0,3,10.0,1.0,48.26981163024902,26
제품 개발 연구원_q02,식물성 단백질 기반 대체육 제품 개발 기술 분석 보고서를 작성해주세요,제품 개발 연구원,8.8,B+,1.0,8.555,1.0,3,6.5,1.0,90.28166246414185,25
제품 개발 연구원_q03,프로바이오틱스 효능 연구 및 제품 적용 방안 보고서를 작성해주세요,제품 개발 연구원,8.53,B+,1.0,7.404,1.0,3,6.5,1.0,70.62812852859497,27
기본_q01,식품 안전 규제 동향 및 컴플라이언스 대응 방안 보고서를 작성해주세요,기본,8.69,B+,1.0,8.453999999999999,1.0,3,5.0,1.0,252.5853259563446,38
기본_q02,푸드테크 산업의 AI 활용 사례 분석 보고서를 작성해주세요,기본,8.6,B+,1.0,8.741,0.8333333333333334,1,6.5,1.0,60.56155204772949,30
기본_q03,탄소중립을 위한 식품 산업의 ESG 경영 전략 보고서를 작성해주세요,기본,8.78,B+,1.0,8.955,1.0,3,5.0,1.0,153.04391956329346,52
