,product,소재지,region,city,category,농장수
0,가지,경상북도 의성군,경상북도,의성군,과채류,3
1,감귤,제주특별자치도 서귀포시,제주특별자치도,서귀포시,과실류,265
2,감귤,제주특별자치도 제주시,제주특별자치도,제주시,과실류,257
3,감자,강원도 평창군,강원도,평창군,서류,24
4,감자,전라북도 김제시,전라북도,김제시,서류,3
5,감자,전라북도 부안군,전라북도,부안군,서류,1
6,감자,경상남도 창원시,경상남도,창원시,서류,5
7,감자,경상북도 상주시,경상북도,상주시,서류,8
8,고구마,전라북도 고창군,전라북도,고창군,서류,9
9,고구마,경기도 여주군,경기도,여주군,서류,1
10,고구마,전라남도 해남군,전라남도,해남군,서류,57
11,고구마,전라남도 영암군,전라남도,영암군,서류,67
12,과실류 기타,광주광역시 북구,광주광역시,북구,과실류,2
13,느타리버섯,경상북도 칠곡군,경상북도,칠곡군,버섯류,3
14,단감,경상남도 김해시,경상남도,김해시,과실류,10
15,단감,경상남도 창원시,경상남도,창원시,과실류,29
16,대파,충청남도 예산군,충청남도,예산군,조미채소류,2
17,딸기,경상남도 거창군,경상남도,거창군,과일과채류,2
18,딸기,경상북도 고령군,경상북도,고령군,과일과채류,64
19,딸기,충청남도 논산시,충청남도,논산시,과일과채류,45
20,딸기,경상남도 산청군,경상남도,산청군,과일과채류,10
21,딸기,전라남도 장성군,전라남도,장성군,과일과채류,6
22,딸기,경상남도 하동군,경상남도,하동군,과일과채류,2
23,딸기,전라남도 담양군,전라남도,담양군,과일과채류,11
24,딸기,전라북도 순창군,전라북도,순창군,과일과채류,8
25,딸기,경상남도 밀양시,경상남도,밀양시,과일과채류,2
26,딸기,전라북도 완주군,전라북도,완주군,과일과채류,3
27,떫은감,경상북도 청도군,경상북도,청도군,수실류,8
28,마늘,경상남도 남해군,경상남도,남해군,조미채소류,8
29,마늘,경상남도 창녕군,경상남도,창녕군,조미채소류,40
30,마늘,충청남도 서산시,충청남도,서산시,조미채소류,12
31,마늘,전라남도 무안군,전라남도,무안군,조미채소류,5
32,마늘,제주특별자치도 제주시,제주특별자치도,제주시,조미채소류,9
33,마늘,충청남도 태안군,충청남도,태안군,조미채소류,9
34,메론,전라남도 곡성군,전라남도,곡성군,과일과채류,2
35,무화과,전라남도 영암군,전라남도,영암군,과실류,26
36,밤,충청남도 청양군,충청남도,청양군,수실류,28
37,배,경기도 수원시,경기도,수원시,과실류,1
38,배,전라남도 나주시,전라남도,나주시,과실류,18
39,배,충청남도 아산시,충청남도,아산시,과실류,7
40,배,경기도 안성시,경기도,안성시,과실류,6
41,배,전라북도 전주시,전라북도,전주시,과실류,3
42,배,충청남도 천안시,충청남도,천안시,과실류,13
43,버섯류 기타,전라남도 보성군,전라남도,보성군,버섯류,1
44,복숭아,경상북도 경산시,경상북도,경산시,과실류,6
45,복숭아,경상북도 영천시,경상북도,영천시,과실류,5
46,복숭아,전라북도 임실군,전라북도,임실군,과실류,1
47,복숭아,충청북도 충주시,충청북도,충주시,과실류,12
48,복숭아,충청북도 음성군,충청북도,음성군,과실류,14
49,봄배추,전라남도 진도군,전라남도,진도군,엽경채류,1
50,부추,경상북도 경주시,경상북도,경주시,엽경채류,4
51,사과,경상남도 거창군,경상남도,거창군,과실류,8
52,사과,경상북도 영천시,경상북도,영천시,과실류,8
53,사과(과실류),경상남도 거창군,경상남도,거창군,과실류,4
54,사과(과실류),충청북도 괴산군,충청북도,괴산군,과실류,4
55,사과(과실류),경상북도 안동시,경상북도,안동시,과실류,6
56,사과(과실류),경상북도 영주시,경상북도,영주시,과실류,6
57,사과(과실류),대구광역시 동구,대구광역시,동구,과실류,1
58,사과(과실류),전라북도 무주군,전라북도,무주군,과실류,3
59,사과(과실류),경상북도 봉화군,경상북도,봉화군,과실류,5
60,사과(과실류),경상북도 김천시,경상북도,김천시,과실류,1
61,사과(과실류),충청남도 예산군,충청남도,예산군,과실류,1
62,사과(과실류),경상북도 예천군,경상북도,예천군,과실류,2
63,사과(과실류),전라북도 장수군,전라북도,장수군,과실류,6
64,사과(과실류),경상북도 청송군,경상북도,청송군,과실류,7
65,사과(과실류),충청북도 충주시,충청북도,충주시,과실류,5
66,사과(과실류),경상북도 포항시,경상북도,포항시,과실류,2
67,상추,경기도 남양주시,경기도,남양주시,엽경채류,12
68,상추,전라북도 익산시,전라북도,익산시,엽경채류,7
69,수박,경상남도 함안군,경상남도,함안군,과일과채류,7
70,수박,경상남도 의령군,경상남도,의령군,과일과채류,1
71,수박,충청북도 청주시,충청북도,청주시,과일과채류,1
72,수박,충청북도 진천군,충청북도,진천군,과일과채류,2
73,수박,전라북도 부안군,전라북도,부안군,과일과채류,1
74,약용작물류 기타,전라남도 화순군,전라남도,화순군,약용작물류,1
75,양배추,경기도 수원시,경기도,수원시,엽경채류,1
