,city,region,product,farm
0,강릉시,강원도,소(육우),10
1,강릉시,강원도,소(젖소),8
2,강릉시,강원도,소(한우),210
3,고성군,강원도,소(육우),3
4,고성군,강원도,소(젖소),1
5,고성군,강원도,소(한우),236
6,동해시,강원도,소(한우),37
7,삼척시,강원도,소(한우),333
8,속초시,강원도,소(한우),5
9,양구군,강원도,소(한우),203
10,양양군,강원도,소(한우),177
11,영월군,강원도,소(한우),247
12,원주시,강원도,소(육우),21
13,원주시,강원도,소(젖소),20
14,원주시,강원도,소(한우),387
15,인제군,강원도,소(육우),1
16,인제군,강원도,소(한우),194
17,정선군,강원도,소(육우),1
18,정선군,강원도,소(한우),304
19,철원군,강원도,소(육우),111
20,철원군,강원도,소(젖소),120
21,철원군,강원도,소(한우),273
22,춘천시,강원도,소(육우),7
23,춘천시,강원도,소(젖소),8
24,춘천시,강원도,소(한우),410
25,태백시,강원도,소(젖소),1
26,태백시,강원도,소(한우),37
27,평창군,강원도,소(육우),16
28,평창군,강원도,소(젖소),16
29,평창군,강원도,소(한우),242
30,홍천군,강원도,소(육우),38
31,홍천군,강원도,소(젖소),43
32,홍천군,강원도,소(한우),894
33,화천군,강원도,소(육우),2
34,화천군,강원도,소(젖소),2
35,화천군,강원도,소(한우),205
36,횡성군,강원도,소(육우),34
37,횡성군,강원도,소(젖소),31
38,횡성군,강원도,소(한우),1114
39,가평군,경기도,소(육우),36
40,가평군,경기도,소(젖소),40
41,가평군,경기도,소(한우),244
42,과천시,경기도,소(한우),1
43,광명시,경기도,소(육우),3
44,광명시,경기도,소(젖소),1
45,광명시,경기도,소(한우),14
46,광주시,경기도,소(육우),18
47,광주시,경기도,소(젖소),21
48,광주시,경기도,소(한우),111
49,구리시,경기도,소(육우),1
50,구리시,경기도,소(젖소),1
51,구리시,경기도,소(한우),2
52,군포시,경기도,소(한우),9
53,권선구,경기도,소(한우),3
54,기흥구,경기도,소(한우),1
55,김포시,경기도,소(육우),54
56,김포시,경기도,소(젖소),53
57,김포시,경기도,소(한우),135
58,남양주시,경기도,소(육우),46
59,남양주시,경기도,소(젖소),43
60,남양주시,경기도,소(한우),128
61,단원구,경기도,소(한우),3
62,덕양구,경기도,소(육우),6
63,덕양구,경기도,소(젖소),11
64,덕양구,경기도,소(한우),23
65,동두천시,경기도,소(육우),11
66,동두천시,경기도,소(젖소),6
67,동두천시,경기도,소(한우),20
68,만안구,경기도,소(한우),1
69,상록구,경기도,소(육우),6
70,상록구,경기도,소(젖소),5
71,상록구,경기도,소(한우),36
72,수지구,경기도,소(한우),2
73,시흥시,경기도,소(육우),8
74,시흥시,경기도,소(젖소),1
75,시흥시,경기도,소(한우),111
76,안성시,경기도,소(육우),321
77,안성시,경기도,소(젖소),195
78,안성시,경기도,소(한우),914
79,양주시,경기도,소(육우),112
80,양주시,경기도,소(젖소),117
81,양주시,경기도,소(한우),200
82,양평군,경기도,소(육우),52
83,양평군,경기도,소(젖소),68
84,양평군,경기도,소(한우),421
85,여주시,경기도,소(육우),149
86,여주시,경기도,소(젖소),159
87,여주시,경기도,소(한우),387
88,연천군,경기도,소(육우),131
89,연천군,경기도,소(젖소),154
90,연천군,경기도,소(한우),175
91,오산시,경기도,소(한우),7
92,의왕시,경기도,소(한우),6
93,의정부시,경기도,소(젖소),2
94,의정부시,경기도,소(한우),3
95,이천시,경기도,소(육우),178
96,이천시,경기도,소(젖소),244
97,이천시,경기도,소(한우),328
98,일산동구,경기도,소(육우),23
99,일산동구,경기도,소(젖소),29
100,일산동구,경기도,소(한우),55
101,일산서구,경기도,소(육우),6
102,일산서구,경기도,소(젖소),5
103,일산서구,경기도,소(한우),14
104,장안구,경기도,소(육우),1
105,장안구,경기도,소(젖소),1
106,장안구,경기도,소(한우),8
107,처인구,경기도,소(육우),40
108,처인구,경기도,소(젖소),33
109,처인구,경기도,소(한우),207
110,파주시,경기도,소(육우),191
111,파주시,경기도,소(젖소),207
112,파주시,경기도,소(한우),193
113,평택시,경기도,소(육우),181
114,평택시,경기도,소(젖소),170
115,평택시,경기도,소(한우),271
116,포천시,경기도,소(육우),175
117,포천시,경기도,소(젖소),196
118,포천시,경기도,소(한우),252
119,하남시,경기도,소(육우),2
120,하남시,경기도,소(젖소),1
121,하남시,경기도,소(한우),1
122,화성시,경기도,소(육우),260
123,화성시,경기도,소(젖소),284
124,화성시,경기도,소(한우),649
125,거제시,경상남도,소(한우),89
126,거창군,경상남도,소(육우),23
127,거창군,경상남도,소(젖소),16
128,거창군,경상남도,소(한우),801
129,고성군,경상남도,소(육우),43
130,고성군,경상남도,소(젖소),45
131,고성군,경상남도,소(한우),562
132,김해시,경상남도,소(육우),24
133,김해시,경상남도,소(젖소),19
134,김해시,경상남도,소(한우),587
135,남해군,경상남도,소(육우),5
136,남해군,경상남도,소(젖소),7
137,남해군,경상남도,소(한우),466
138,마산합포구,경상남도,소(육우),7
139,마산합포구,경상남도,소(젖소),6
140,마산합포구,경상남도,소(한우),193
141,마산회원구,경상남도,소(한우),5
142,밀양시,경상남도,소(육우),25
143,밀양시,경상남도,소(젖소),19
144,밀양시,경상남도,소(한우),631
145,사천시,경상남도,소(육우),27
146,사천시,경상남도,소(젖소),27
147,사천시,경상남도,소(한우),402
148,산청군,경상남도,소(육우),18
149,산청군,경상남도,소(젖소),14
150,산청군,경상남도,소(한우),456
151,성산구,경상남도,소(육우),1
152,성산구,경상남도,소(젖소),2
153,양산시,경상남도,소(육우),14
154,양산시,경상남도,소(젖소),13
155,양산시,경상남도,소(한우),93
156,의령군,경상남도,소(육우),16
157,의령군,경상남도,소(젖소),17
158,의령군,경상남도,소(한우),462
159,의창구,경상남도,소(육우),24
160,의창구,경상남도,소(젖소),18
161,의창구,경상남도,소(한우),135
162,진주시,경상남도,소(육우),34
163,진주시,경상남도,소(젖소),24
164,진주시,경상남도,소(한우),469
165,진해구,경상남도,소(한우),3
166,창녕군,경상남도,소(육우),30
167,창녕군,경상남도,소(젖소),21
168,창녕군,경상남도,소(한우),593
169,통영시,경상남도,소(한우),61
170,하동군,경상남도,소(육우),20
171,하동군,경상남도,소(젖소),19
172,하동군,경상남도,소(한우),433
173,함안군,경상남도,소(육우),37
174,함안군,경상남도,소(젖소),39
175,함안군,경상남도,소(한우),365
176,함양군,경상남도,소(육우),13
177,함양군,경상남도,소(젖소),13
178,함양군,경상남도,소(한우),400
179,합천군,경상남도,소(육우),6
180,합천군,경상남도,소(한우),1234
181,경산시,경상북도,소(육우),53
182,경산시,경상북도,소(젖소),47
183,경산시,경상북도,소(한우),708
184,경주시,경상북도,소(육우),181
185,경주시,경상북도,소(젖소),165
186,경주시,경상북도,소(한우),2328
187,고령군,경상북도,소(육우),19
188,고령군,경상북도,소(젖소),7
189,고령군,경상북도,소(한우),407
190,구미시,경상북도,소(육우),98
191,구미시,경상북도,소(젖소),41
192,구미시,경상북도,소(한우),1214
193,김천시,경상북도,소(육우),52
194,김천시,경상북도,소(젖소),40
195,김천시,경상북도,소(한우),807
196,남구,경상북도,소(육우),5
197,남구,경상북도,소(젖소),3
198,남구,경상북도,소(한우),187
199,문경시,경상북도,소(육우),27
200,문경시,경상북도,소(젖소),14
201,문경시,경상북도,소(한우),733
202,봉화군,경상북도,소(육우),4
203,봉화군,경상북도,소(젖소),4
204,봉화군,경상북도,소(한우),551
205,북구,경상북도,소(육우),29
206,북구,경상북도,소(젖소),25
207,북구,경상북도,소(한우),512
208,상주시,경상북도,소(육우),58
209,상주시,경상북도,소(젖소),38
210,상주시,경상북도,소(한우),1621
211,성주군,경상북도,소(육우),23
212,성주군,경상북도,소(젖소),16
213,성주군,경상북도,소(한우),390
214,안동시,경상북도,소(육우),22
215,안동시,경상북도,소(젖소),11
216,안동시,경상북도,소(한우),940
217,영덕군,경상북도,소(육우),5
218,영덕군,경상북도,소(젖소),2
219,영덕군,경상북도,소(한우),197
220,영양군,경상북도,소(육우),3
221,영양군,경상북도,소(젖소),1
222,영양군,경상북도,소(한우),107
223,영주시,경상북도,소(육우),24
224,영주시,경상북도,소(젖소),19
225,영주시,경상북도,소(한우),1257
226,영천시,경상북도,소(육우),43
227,영천시,경상북도,소(젖소),44
228,영천시,경상북도,소(한우),879
229,예천군,경상북도,소(육우),24
230,예천군,경상북도,소(젖소),12
231,예천군,경상북도,소(한우),1243
232,울릉군,경상북도,소(한우),13
233,울진군,경상북도,소(한우),324
234,의성군,경상북도,소(육우),12
235,의성군,경상북도,소(젖소),8
236,의성군,경상북도,소(한우),755
237,청도군,경상북도,소(육우),20
238,청도군,경상북도,소(젖소),16
239,청도군,경상북도,소(한우),538
240,청송군,경상북도,소(육우),5
241,청송군,경상북도,소(젖소),6
242,청송군,경상북도,소(한우),127
243,칠곡군,경상북도,소(육우),20
244,칠곡군,경상북도,소(젖소),16
245,칠곡군,경상북도,소(한우),258
246,광산구,광주광역시,소(육우),5
247,광산구,광주광역시,소(젖소),5
248,광산구,광주광역시,소(한우),90
249,남구,광주광역시,소(한우),6
250,북구,광주광역시,소(한우),33
251,서구,광주광역시,소(한우),2
252,군위군,대구광역시,소(육우),16
253,군위군,대구광역시,소(젖소),10
