,region,product,farm,count
0,강원도,닭(산란계),61,4127887
1,강원도,닭(육용계),60,2828232
2,경기도,닭(산란계),205,20299227
3,경기도,닭(육용계),216,10572596
4,경상남도,닭(산란계),86,7268323
5,경상남도,닭(육용계),57,3241310
6,경상북도,닭(산란계),158,15422555
7,경상북도,닭(육용계),150,9358748
8,광주광역시,닭(산란계),4,52900
9,대구광역시,닭(산란계),8,1294800
10,대구광역시,닭(육용계),7,383800
11,세종특별자치시,닭(산란계),19,2419460
12,세종특별자치시,닭(육용계),3,171100
13,울산광역시,닭(산란계),9,298014
14,인천광역시,닭(산란계),8,267172
15,인천광역시,닭(육용계),6,335900
16,전라남도,닭(산란계),82,5442969
17,전라남도,닭(육용계),224,17275805
18,전라북도,닭(산란계),43,2817214
19,전라북도,닭(육용계),371,27579566
20,제주특별자치도,닭(산란계),27,964497
21,제주특별자치도,닭(육용계),21,651295
22,충청남도,닭(산란계),142,11273028
23,충청남도,닭(육용계),261,15496880
24,충청북도,닭(산란계),102,6046976
25,충청북도,닭(육용계),110,6062631
