엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
독일,국가,시장규모,열처리 가금육,품목,시장규모:12870만달러;연평균증가율:8.2%
프랑스,국가,시장규모,열처리 가금육,품목,시장규모:10750만달러;연평균증가율:3.3%
EU,지역,시장규모,열처리 가금육,품목,시장규모:58390만달러;연평균증가율:7.5%
독일,국가,수입액,열처리 가금육,품목,수입액:56837만달러;전년비증가:18.5%
프랑스,국가,수입액,열처리 가금육,품목,수입액:58099만달러;전년비증가:18.5%
한국,국가,수입액,열처리 가금육,품목,수입액:21000달러;비중:0.004%
독일,국가,생산량,가금육,품목,생산량:1524900톤;전년비증가:1.4%
프랑스,국가,생산량,가금육,품목,생산량:1531000톤;전년비증가:2.0%
한국,국가,생산량,가금육,품목,생산량:약 114000톤;전년비증가:7.8%
독일,국가,소비량,가금육,품목,소비량:1968000톤;전년비증가:3.1%
프랑스,국가,소비량,가금육,품목,소비량:1531000톤;전년비증가:2.0%
한국,국가,소비량,가금육,품목,소비량:약 168000톤;전년비증가:3.1%
독일,국가,수입국,열처리 가금육,품목,수입국:네덜란드|태국|헝가리|덴마크|브라질
프랑스,국가,수입국,열처리 가금육,품목,수입국:폴란드|독일|벨기에|네덜란드|태국
한국,국가,수입국,열처리 가금육,품목,수입국:없음
독일,국가,수입액,열처리 가금육,품목,수입액:56837만달러;전년비증가:18.5%
프랑스,국가,수입액,열처리 가금육,품목,수입액:58099만달러;전년비증가:18.5%
한국,국가,수입액,열처리 가금육,품목,수입액:21000달러;비중:0.004%
독일,국가,수입단가,열처리 가금육,품목,수입단가:4667달러/톤;전년비증가:6.7%
프랑스,국가,수입단가,열처리 가금육,품목,수입단가:5310달러/톤;전년비감소:0.3%
한국,국가,수입단가,열처리 가금육,품목,수입단가:약 7270000원/톤;전년비증가:37.0%
독일,국가,생산량,가금육,품목,생산량:1524900톤;전년비증가:1.4%
프랑스,국가,생산량,가금육,품목,생산량:1531000톤;전년비증가:2.0%
한국,국가,생산량,가금육,품목,생산량:약 114000톤;전년비증가:7.8%
독일,국가,가금육 소비량,품목,소비량:1968000톤;전년비증가:3.1%
프랑스,국가,가금육 소비량,품목,소비량:1531000톤;전년비증가:2.0%
한국,국가,가금육 소비량,품목,소비량:약 168000톤;전년비증가:3.1%
독일,국가,주요 수입국,수입국,수입국:네덜란드|태국|헝가리|덴마크|브라질
프랑스,국가,주요 수입국,수입국,수입국:폴란드|독일|벨기에|네덜란드|태국
한국,국가,수입국,수입국,수입국:없음
독일,국가,시장규모,열처리 가금육,품목,시장규모:12억8700만달러;연평균증가:8.2%
프랑스,국가,시장규모,열처리 가금육,품목,시장규모:10억750만달러;연평균증가:3.3%
한국,국가,수입액,열처리 가금육,품목,수입액:약 2만1000달러;비중:0.004%
