엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,정부기관,발행,가공식품 세분시장 현황 보고서,보고서,발행기관:농림축산식품부;작성기관:한국농수산식품유통공사;작성연도:2022
농림축산식품부,정부기관,주관,가공식품 세분시장 현황 보고서,보고서,주관기관:농림축산식품부
한국농수산식품유통공사,공공기관,시행,가공식품 세분시장 현황 보고서,보고서,시행기관:한국농수산식품유통공사
네이버,포털사이트,검색,냉동식품,품목,검색량:2021.08.02.~2022.08.02
네이버,포털사이트,검색,냉동식품,품목,검색량:2022년 1월 4일 '풀무원 냉동피자높은매출성장률'뉴스외
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 데이터랩,2021.08.02.~2022.08.02
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 트렌드,2022년
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 데이터랩,2022년
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 웹문서,1,500건
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 블로그,1,001건
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 뉴스,719건
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 카페,1,000건
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 지식인,991건
네이버,포털사이트,검색,냉동식품,품목,검색량:학술정보,1,010건
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 트렌드,2022년
네이버,포털사이트,검색,냉동식품,품목,검색량:네이버 데이터랩,2022년
제조사,기업,생산,냉동식품,품목,브랜드:비비고,만두,피자,핫도그,튀김,밥류,기타
제조사,기업,생산,냉동식품,품목,브랜드:오뚜기,피자,핫도그,튀김,밥류,기타
제조사,기업,생산,냉동식품,품목,브랜드:풀무원,만두,피자,핫도그,튀김,밥류,기타
제조사,기업,생산,냉동식품,품목,브랜드:대상,만두,반찬류,즉석조리품
제조사,기업,생산,냉동식품,품목,브랜드:동원F&B,참치,육가공품,냉동식품
제조사,기업,생산,냉동식품,품목,브랜드:이마트,수입브랜드,감자,빵류
제조사,기업,생산,냉동식품,품목,브랜드:Menissez,프랑스,베이커리,냉동반조리빵
제조사,기업,생산,냉동식품,품목,브랜드:Simplot,미국,냉동감자,포테이토칩
제조사,기업,생산,냉동식품,품목,브랜드:아시아익스프레스푸드,네덜란드,냉동식품
제조사,기업,생산,냉동식품,품목,브랜드:한국,대체육,대체해산물,비건제품
수출입기관,기관,통계,수출입현황,수치,수출량:2017년 4453톤,수출액:12062만달러
수출입기관,기관,통계,수출입현황,수치,수출량:2018년 5053톤,수출액:15026만달러
수출입기관,기관,통계,수출입현황,수치,수출량:2019년 6254톤,수출액:19408만달러
수출입기관,기관,통계,수출입현황,수치,수출량:2020년 7034톤,수출액:22715만달러
수출입기관,기관,통계,수출입현황,수치,수출량:2021년 12600톤,수출액:45320만달러
수출입기관,기관,통계,수출품목,품목,수출량:만두,핫도그,피자
수입기관,기관,통계,수입현황,수치,수입량:2017년 4307톤,수입액:17776만달러
수입기관,기관,통계,수입현황,수치,수입량:2018년 283톤,수입액:536만달러
수입기관,기관,통계,수입현황,수치,수입량:2019년 3톤,수입액:6만달러
수입기관,기관,통계,수입현황,수치,수입량:2020년 2604톤,수입액:9578만달러
수입기관,기관,통계,수입현황,수치,수입량:2021년 2715톤,수입액:10911만달러
유통업체,기업,판매,냉동식품,품목,판매채널:대형마트,온라인쇼핑몰,소셜커머스,편의점
유통업체,기업,판매,냉동만두,품목,시장규모:2021년 4940억 원,점유율:약 46.1%
유통업체,기업,판매,냉동피자,품목,시장규모:2021년 1615억 원,점유율:약 7.7%
유통업체,기업,판매,냉동핫도그,품목,시장규모:2021년 1241억 원,점유율:약 5.4%
유통업체,기업,판매,냉동돈까스,품목,시장규모:2021년 1079억 원,점유율:약 4.7%
유통업체,기업,판매,냉동밥류,품목,시장규모:2021년 940억 원,점유율:약 4.1%
유통업체,기업,판매,냉동튀김,품목,시장규모:2021년 850억 원,점유율:약 3.7%
유통업체,기업,판매,냉동치즈,품목,시장규모:2021년 780억 원,점유율:약 3.4%
유통업체,기업,판매,냉동국/탕/찌개류,품목,시장규모:2021년 720억 원,점유율:약 3.1%
유통업체,기업,판매,냉동해산물,품목,시장규모:2021년 680억 원,점유율:약 3.0%
유통업체,기업,판매,냉동대체육,품목,시장규모:2021년 600억 원,점유율:약 2.6%
유통업체,기업,판매,냉동대체해산물,품목,시장규모:2021년 560억 원,점유율:약 2.4%
