엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
가구,조사대상,소비지출,식품,품목,시기:2024년;국가:한국
가구,조사대상,소득,가구소득,수치,시기:2024년
가구,조사대상,가구원수,가구원수,시기:2024년
가구,조사대상,연령대,가구주연령대,시기:2024년
가구,조사대상,소득분위,소득분위,시기:2024년
가구,조사대상,지출액,월평균지출,시기:2024년
가구,조사대상,지출비중,외식비,시기:2024년
가구,조사대상,지출비중,신선식품,시기:2024년
가구,조사대상,지출비중,가공식품,시기:2024년
가구,조사대상,지출비중,외식,시기:2024년
가구,조사대상,지출액,신선식품지출,시기:2024년
가구,조사대상,지출액,가공식품지출,시기:2024년
가구,조사대상,지출액,외식지출,시기:2024년
가구,조사대상,지출액,신선식품지출,시기:2024년
가구,조사대상,지출액,가공식품지출,시기:2024년
가구,조사대상,지출액,외식지출,시기:2024년
가구,조사대상,지출비중,신선식품,시기:2024년
가구,조사대상,지출비중,가공식품,시기:2024년
가구,조사대상,지출비중,외식,시기:2024년
가구,조사대상,지출액,신선식품비중,시기:2024년
가구,조사대상,지출액,가공식품비중,시기:2024년
가구,조사대상,지출액,외식비중,시기:2024년
가구,조사대상,지출액,신선식품비중,시기:2024년
가구,조사대상,지출액,가공식품비중,시기:2024년
가구,조사대상,지출액,외식비중,시기:2024년
가구,조사대상,지출액,신선식품지출액,시기:2024년
가구,조사대상,지출액,가공식품지출액,시기:2024년
가구,조사대상,지출액,외식지출액,시기:2024년
가구,조사대상,지출비중,신선식품,시기:2024년
가구,조사대상,지출비중,가공식품,시기:2024년
가구,조사대상,지출비중,외식,시기:2024년
가구,조사대상,연령대별,가구주연령대,시기:2024년
가구,조사대상,지출액,신선식품,시기:2024년
가구,조사대상,지출액,가공식품,시기:2024년
가구,조사대상,지출액,외식,시기:2024년
가구,조사대상,지출비중,신선식품,시기:2024년
가구,조사대상,지출비중,가공식품,시기:2024년
가구,조사대상,지출비중,외식,시기:2024년
가구,조사대상,연령대별,가구주연령대,시기:2024년
가구,조사대상,지출액,신선식품,시기:2024년
가구,조사대상,지출액,가공식품,시기:2024년
가구,조사대상,지출액,외식,시기:2024년
가구,조사대상,지출비중,신선식품,시기:2024년
가구,조사대상,지출비중,가공식품,시기:2024년
가구,조사대상,지출비중,외식,시기:2024년
