엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,국가:한국;시기:2018,미국,국가,수치:13.0
한국,국가,국가:한국;시기:2018,EU,국가,수치:12.4
한국,국가,국가:한국;시기:2018,일본,국가,수치:15.3
한국,국가,국가:한국;시기:2019,한국은행,기관,출처
한국,국가,국가:한국;시기:2019,국민계정,기관,출처
한국,국가,국가:한국;시기:2019,가계소비,경제지표,수치:50.8
한국,국가,국가:한국;시기:2019,가계소비,경제지표,수치:37.5
한국,국가,국가:한국;시기:2019,가계소비,경제지표,수치:11.7
한국,국가,국가:한국;시기:2019,식품제조,산업,수치:22.5조원
한국,국가,국가:한국;시기:2019,외식,산업,수치:41.4조원
한국,국가,국가:한국;시기:2019,전산업,산업,수치:2272
한국,국가,국가:한국;시기:2019,식품제조업,산업,수치:38
한국,국가,국가:한국;시기:2019,외식업,산업,수치:219
한국,국가,국가:한국;시기:2019,합계,산업,수치:257
식품산업,산업,투입가계소비기타,가계소비,경제활동,수치:50.8
식품산업,산업,투입가계소비기타,기타,수출재고,수치:22.0
식품산업,산업,투입가계소비기타,수출재고,수치:6.8
식품제조,산업,비중,제조업비중,비율,6.4
미국,국가,수치,수치:13.0
EU,국가,수치,수치:12.4
일본,국가,수치,수치:15.3
2014,연도,비율,비율:31.3%,수치:489만톤
2016,연도,비율,비율:31.4%,수치:519만톤
2018,연도,비율,비율:31.3%,수치:560만톤
2019,연도,비율,비율:31.5%,수치:585만톤
코로나19,상황,수출액증감률,수치:29.4
코로나19,상황,수출액증감률,수치:29.2
코로나19,상황,수출액증감률,수치:17.6
코로나19,상황,수출액증감률,수치:7.6
코로나19,상황,수출액증감률,수치:37.6
코로나19,상황,수출액증감률,수치:0.8
코로나19,상황,수출액증감률,수치:2.7
코로나19,상황,수출액증감률,수치:15.7
코로나19,상황,수출액증감률,수치:24.6
코로나19,상황,수출액증감률,수치:9.3
코로나19,상황,수출액증감률,수치:1.6
가공식품,품목,연평균증감율,4.5%
가공식품,품목,연평균증감율,3.5%
육가공,품목,연평균증감율,0.8%
육가공,품목,연평균증감율,6.1%
수산가공,품목,연평균증감율,-0.2%
수산가공,품목,연평균증감율,2.2%
유가공,품목,연평균증감율,1.7%
유가공,품목,연평균증감율,0.2%
유지류,품목,연평균증감율,0.4%
유지류,품목,연평균증감율,3.0%
과일가공품,품목,연평균증감율,13.2%
과일가공품,품목,연평균증감율,10.5%
채소가공품,품목,연평균증감율,4.8%
채소가공품,품목,연평균증감율,3.5%
당류및과자류,품목,연평균증감율,4.2%
당류및과자류,품목,연평균증감율,3.7%
조미식품,품목,연평균증감율,-0.1%
조미식품,품목,연평균증감율,4.5%
기타식품,품목,연평균증감율,5.7%
기타식품,품목,연평균증감율,10.6%
커피및차,품목,연평균증감율,4.4%
커피및차,품목,연평균증감율,4.0%
쥬스및음료,품목,연평균증감율,3.1%
쥬스및음료,품목,연평균증감율,4.3%
주류,품목,연평균증감율,4.6%
주류,품목,연평균증감율,6.6%
