엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,규제 정책,식이보충제,품목,관련 법률:DSHEA;신고필요여부:신고필요;허가필요여부:허가 없음
미국,국가,규제 정책,일반식품,품목,구조/기능 표시:가능;영양 강조 표시:가능;신고필요여부:신고 필요
미국,국가,규제 정책,보건기능식품,품목,허가 필요;성분목록:허가받은 원료;표시:허가 마크
일본,국가,규제 정책,영양기능식품,품목,허가 없음;신고번호:발급;표기:영양성분 기능
일본,국가,규제 정책,특정보건용식품,품목,허가 필요;신고번호:발급;표기:기능성 표시식품
중국,국가,규제 정책,보건식품,품목,등록(허가):심사 및 허가;서류심사(신고):신고번호 교부
중국,국가,규제 정책,영양보충제,품목,원료:인삼,서양삼,영지;섭취량:1~6g;효과:면역력 강화,피로 해소
중국,국가,규제 정책,기능성식품,품목,범주:구강미용|피로해소|체중감량|질병예방|신체리듬|기능향상;효능:항산화, 피부개선, 혈중지질저하 등
일본,국가,규제 정책,기능성표시식품,품목,신고번호:발급;표기:기능성 성분 및 효능;신고기한:60일
미국,기관,역할,식품의약국(FDA),기관명,기능:신제품 신고,허가:신규 성분 신고;영양 강조:신고 필요;구조/기능 표기:시판 후 30일 이내 신고
중국,기관,역할,국가시장감독관리총국,기관명,기능성표시:신기능 평가;신고:신고번호 부여;허가:심사 및 허가
일본,기관,역할,일본 소비자청,기관명,기능성표시식품 신고:60일 전 신고;허가:심사 후 승인;표기:필수 표기사항
중국,기관,역할,중국 영양건강식품협회,기관명,기능성원료목록:인삼,서양삼,영지;기준규격:업데이트;효능:면역력 강화,피로 해소
미국,기관,역할,연방거래위원회(FTC),기관명,역할:광고 규제;허가:별도 없음;표기:광고 내용 규제
일본,기관,역할,후생노동성,기관명,가이드라인:품질관리; GMP:권장;원료:인삼,영지 등
중국,기관,역할,中国保健食品原料目录,기관명,원료:헤민,비타민K2,유청단백질,분리대두단백;섭취량:1~6g;효과:면역력,피로 해소
중국,국가,규제 정책,보건식품,품목,등록(허가):심사 및 허가;신고:신고번호 부여;원료목록:등재 원료 사용
일본,국가,규제 정책,기능성식품,품목,허가:심사 및 승인;신고:60일 전 신고;표기:필수 표기사항
미국,국가,규제 정책,식이보충제,품목,신고:신고 필요;허가:별도 없음;성분:신규 성분은 75일 내 신고
중국,국가,규제 정책,보건식품,품목,등록(허가):심사 및 허가;신고:신고번호 부여;원료목록:신규 원료 포함
일본,국가,규제 정책,특정보건용식품,품목,허가:필수;신고:60일 전;표기:8포인트 이상
중국,국가,규제 정책,영양보충제,품목,섭취량:1~6g;효과:면역력,피로 해소;기준:업데이트
미국,국가,규제 정책,일반식품,품목,기능성표시:가능;신고필요:신고 필요;허가:불필요
중국,국가,규제 정책,보건식품,품목,등록(허가):심사 및 허가;신고:신고번호 부여;원료목록:등재 원료
일본,국가,규제 정책,영양기능식품,품목,허가 없음;신고번호:발급;표기:영양성분 기능
중국,국가,규제 정책,영양건강식품,품목,효능:항산화, 피부개선, 혈중지질저하 등;섭취량:1~6g;효과:면역력 강화
