엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
aT_떡,품목,생산,떡류,품목,생산량:43300;출하량:40100;생산액:7313억;시장성장:2021년 급성장
한과,품목,생산,한과,품목,생산량:58988;출하량:58368;생산액:818억;시장성장:2021년 증가
떡,품목,수출,한국산떡,품목,수출량:20551;수출액:7182만달러;증가율:14.9%;시장확대:글로벌시장
한과,품목,수출,한국산한과,품목,수출량:약수치;수출액:약수치;증가율:27.8~49.9%;시장확대:글로벌시장
떡,품목,수입,외국산떡,품목,수입량:6281;수입액:약수치;비중:6.4%
한과,품목,수입,외국산한과,품목,수입량:약수치;수입액:약수치;비중:93.6%
떡,품목,원료,쌀,국산,사용량:121344;비중:66.9%
떡,품목,원료,밀가루,수입,사용량:34465;비중:19.0%
한과,품목,원료,쌀,국산,사용량:2066;비중:36.7%
한과,품목,원료,물엿,사용량:2039;비중:36.3%
떡,품목,원료,쌀,수입,사용량:약수치;비중:56.4%
한과,품목,원료,쌀,수입,사용량:약수치;비중:99%
떡,품목,시장규모,시장규모,2021,수출액:7.18백만달러;수출량:약2만톤;증가율:약3배
한과,품목,시장규모,시장규모,2021,수출액:약7천만달러;수출량:약2만톤;증가율:약3배
떡,품목,시장규모,국내소비,2021,소비량:56.9kg/인;시장성장:감소추세
한과,품목,시장규모,국내소비,2021,소비량:약58,988톤;생산액:818억;시장성장:2021년 증가
떡,품목,수출,미국,수출량:6050;수출액:18470만달러;순위:1위
떡,품목,수출,일본,수출량:2609;수출액:10982만달러;순위:2위
떡,품목,수출,인도네시아,수출량:1219;수출액:5454만달러;순위:3위
떡,품목,수출,베트남,수출량:969;수출액:5132만달러;순위:4위
한과,품목,수출,미국,수출량:약수치;수출액:약수치;순위:1위
한과,품목,수출,일본,수출량:약수치;수출액:약수치;순위:2위
떡,품목,수입,중국,수입량:약수치;수입액:약수치;비중:약50%
한과,품목,수입,일본,수입량:약수치;수입액:약수치;비중:약50%
떡,품목,시장성장,2021,수출액:7천만달러;증가율:약3배;시장확대
한과,품목,시장성장,2021,수출액:약7천만달러;증가율:약3배;시장확대
