엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출국,일본,국가,수출국:일본;수입량:123138;수입액:19800000
한국,국가,수출국,중국,국가,수출국:중국;수출량:1662385;수출액:258200000
한국,국가,수출국,미국,국가,수출국:미국;수출량:291431;수출액:19900000
한국,국가,수입국,일본,국가,수입국:일본;수입량:4720000;수입액:97000000
한국,국가,수입국,중국,국가,수입국:중국;수입량:15369250;수입액:56000000
한국,국가,수입국,미국,국가,수입국:미국;수입량:22690000;수입액:128900000
한국,국가,수출,전통주,품목,수출:2022;수출량:24539;수출액:3647790000
한국,국가,수입,전통주,품목,수입:2022;수입량:811055;수입액:1501255000
한국,국가,수출,맥주,품목,수출:2022;수출량:1675695;수출액:4023620000
한국,국가,수입,맥주,품목,수입:2022;수입량:3770000;수입액:7500000000
한국,국가,수출,증류주,품목,수출:2022;수출량:382000;수출액:1916200000
한국,국가,수입,증류주,품목,수입:2022;수입량:2680000;수입액:5600000000
한국,국가,수출,와인,품목,수출:2022;수출량:182000;수출액:581300000
한국,국가,수입,와인,품목,수입:2022;수입량:194000;수입액:580000000
한국,국가,수출,리큐르,품목,수출:2022;수출량:3119;수출액:819592000
한국,국가,수입,리큐르,품목,수입:2022;수입량:560000;수입액:1079400000
한국,국가,수출,기타주류,품목,수출:2022;수출량:90146;수출액:292133000
한국,국가,수입,기타주류,품목,수입:2022;수입량:512094;수입액:469951000
한국,국가,수출,전통주,품목,수출:2018-2023;수출량:14611;수출액:407223000
한국,국가,수입,전통주,품목,수입:2018-2023;수입량:9359;수입액:26330000
한국,국가,수출,맥주,품목,수출:2018-2023;수출량:463855;수출액:407213000
한국,국가,수입,맥주,품목,수입:2018-2023;수입량:847879;수입액:1054862000
한국,국가,수출,증류주,품목,수출:2018-2023;수출량:159353;수출액:47620
한국,국가,수입,증류주,품목,수입:2018-2023;수입량:3629278;수입액:362927800
한국,국가,수출,와인,품목,수출:2018-2023;수출량:25800;수출액:12860000
한국,국가,수입,와인,품목,수입:2018-2023;수입량:19400;수입액:5800000
한국,국가,수출,리큐르,품목,수출:2018-2023;수출량:108039;수출액:183604000
한국,국가,수입,리큐르,품목,수입:2018-2023;수입량:512094;수입액:512094000
한국,국가,수출,기타주류,품목,수출:2018-2023;수출량:194462;수출액:398516000
한국,국가,수입,기타주류,품목,수입:2018-2023;수입량:19563850;수입액:6338005000
한국,국가,수출,전통주,품목,수출:2018-2023;수출량:24539;수출액:3647790000
한국,국가,수입,전통주,품목,수입:2018-2023;수입량:811055;수입액:1501255000
한국,국가,수출,맥주,품목,수출:2018-2023;수출량:1675695;수출액:4023620000
한국,국가,수입,맥주,품목,수입:2018-2023;수입량:3770000;수입액:7500000000
한국,국가,수출,증류주,품목,수출:2018-2023;수출량:382000;수출액:1916200000
한국,국가,수입,증류주,품목,수입:2018-2023;수입량:2680000;수입액:5600000000
한국,국가,수출,와인,품목,수출:2018-2023;수출량:182000;수출액:581300000
한국,국가,수입,와인,품목,수입:2018-2023;수입량:194000;수입액:580000000
한국,국가,수출,리큐르,품목,수출:2018-2023;수출량:3119;수출액:819592000
한국,국가,수입,리큐르,품목,수입:2018-2023;수입량:560000;수입액:1079400000
한국,국가,수출,기타주류,품목,수출:2018-2023;수출량:90146;수출액:292133000
한국,국가,수입,기타주류,품목,수입:2018-2023;수입량:512094;수입액:469951000
한국,국가,수출,전통주,품목,수출:2018-2023;수출량:24539;수출액:3647790000
한국,국가,수입,전통주,품목,수입:2018-2023;수입량:811055;수입액:1501255000
한국,국가,수출,맥주,품목,수출:2018-2023;수출량:1675695;수출액:4023620000
한국,국가,수입,맥주,품목,수입:2018-2023;수입량:3770000;수입액:7500000000
한국,국가,수출,증류주,품목,수출:2018-2023;수출량:382000;수출액:1916200000
한국,국가,수입,증류주,품목,수입:2018-2023;수입량:2680000;수입액:5600000000
한국,국가,수출,와인,품목,수출:2018-2023;수출량:182000;수출액:581300000
한국,국가,수입,와인,품목,수입:2018-2023;수입량:194000;수입액:580000000
한국,국가,수출,리큐르,품목,수출:2018-2023;수출량:3119;수출액:819592000
한국,국가,수입,리큐르,품목,수입:2018-2023;수입량:560000;수입액:1079400000
한국,국가,수출,기타주류,품목,수출:2018-2023;수출량:90146;수출액:292133000
한국,국가,수입,기타주류,품목,수입:2018-2023;수입량:512094;수입액:469951000
